pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Mason Barnett,133,139,3.5,OVER,PAPER-V3.1,120.0,betmgm,4.537,0.674,0.654,0.445,0.209,7.0,H0,lcb_1sd_8pp,t12,69.002,A,0.02,0.011,0.0,0.0,0.0,686930.0,27.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Tomoyuki Sugano,115,109,2.5,OVER,PAPER-V3.1,-130.0,fanduel,3.67,0.728,0.714,0.542,0.172,7.0,H0,lcb_1sd_8pp,t12,86.679,A,0.015,0.007,0.0,0.0,0.0,608372.0,18.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Andre Pallante,138,143,3.5,OVER,PAPER-V3.1,112.0,fanduel,4.419,0.652,0.62,0.452,0.168,7.0,H0,lcb_1sd_8pp,t12,72.995,A,0.032,0.007,0.0,0.0,0.0,669467.0,29.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Brandon Young,110,142,3.5,OVER,PAPER-V3.1,-145.0,betmgm,4.779,0.711,0.699,0.548,0.151,1.0,H0,lcb_1sd_8pp,t12,52.284,C,0.011,0.0,0.0,0.0,0.0,687064.0,41.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Dylan Cease,141,111,8.5,UNDER,PAPER-V3.1,-148.0,draftkings,6.959,0.268,0.296,0.437,-0.141,2.0,H0,lcb_1sd_8pp,t12,68.483,A,0.028,0.0,0.0,0.0,0.0,656302.0,51.0,Mixed signals,MIXED,7 internal/verified areas checked
Nick Martinez,139,133,3.5,OVER,PAPER-V3.1,130.0,betmgm,3.918,0.556,0.524,0.433,0.09,6.0,H0,lcb_1sd_8pp,t12,62.995,B,0.032,0.015,0.0,0.0,0.0,607259.0,56.0,Mixed signals,MIXED,7 internal/verified areas checked
Bryan Woo,136,147,6.5,UNDER,PAPER-V3.1,-140.0,betmgm,5.642,0.338,0.355,0.435,-0.081,7.0,H0,lcb_1sd_8pp,t12,81.163,A,0.016,0.01,0.0,0.0,0.0,693433.0,37.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Patrick Sandoval,111,141,4.5,OVER,PAPER-CONV,124.0,fanduel,4.949,0.551,0.516,0.436,0.081,7.0,H0,lcb_1sd_8pp,t12,61.503,B,0.035,0.012,0.0,0.0,0.0,663776.0,41.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
