pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Tarik Skubal,116,110,8.5,UNDER,PAPER-V3.1,-114.0,betonlineag,6.934,0.251,0.251,0.469,-0.219,6.0,H3,raw_8pp,t4,69.095,A,0.026,0.018,0.0,0.0,0.0,669373.0,25.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Zack Littell,120,141,2.5,OVER,PAPER-V3.1,-128.0,fanduel,3.728,0.745,0.745,0.533,0.212,6.0,H3,raw_8pp,t4,85.188,A,0.018,0.007,0.0,0.0,0.0,641793.0,8.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Jesús Luzardo,143,146,7.5,UNDER,PAPER-V3.1,-108.0,betrivers,6.378,0.297,0.297,0.505,-0.208,4.0,H3,raw_8pp,t4,87.486,A,0.014,0.007,0.0,0.0,0.0,666200.0,23.0,Qualitative concerns,CONCERN,6 internal/verified areas checked
Chris Sale,144,121,7.5,UNDER,PAPER-V3.1,-130.0,fanduel,6.184,0.279,0.311,0.469,-0.157,3.0,H0,lcb_1sd_8pp,t12,70.679,A,0.033,0.001,0.0,0.0,0.0,519242.0,30.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Joey Cantillo,114,113,6.5,UNDER,PAPER-V3.1,-150.0,betmgm,5.271,0.273,0.296,0.429,-0.133,5.0,H0,lcb_1sd_8pp,t12,81.462,A,0.023,0.007,0.0,0.0,0.0,676282.0,30.0,Qualitative concerns,CONCERN,6 internal/verified areas checked
Brady Singer,113,114,4.5,OVER,PAPER-V3.1,100.0,fanatics,5.181,0.61,0.593,0.479,0.114,6.0,H0,lcb_1sd_8pp,t12,85.905,A,0.017,0.005,0.0,0.0,0.0,663903.0,84.0,Strong qualitative confirmation,SUPPORT,7 internal/verified areas checked
Eric Lauer,119,136,3.5,OVER,PAPER-CONV,-140.0,betmgm,4.422,0.658,0.64,0.545,0.095,1.0,H0,lcb_1sd_8pp,t12,54.544,B,0.018,0.0,0.0,0.0,0.0,641778.0,47.0,Mixed signals,MIXED,7 internal/verified areas checked
Cam Schlittler,147,145,7.5,UNDER,PAPER-V3.1,-138.0,fanduel,6.478,0.323,0.356,0.443,-0.088,5.0,H0,lcb_1sd_8pp,t12,65.96,B,0.033,0.008,0.0,0.0,0.0,693645.0,36.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Gabriel Hughes,115,135,4.5,OVER,PAPER-CONV,120.0,fanduel,4.912,0.553,0.518,0.433,0.084,5.0,H0,lcb_1sd_8pp,t12,62.17,B,0.035,0.007,0.0,0.0,0.0,687312.0,27.0,Qualitative concerns,CONCERN,5 internal/verified areas checked
Sean Manaea,121,144,4.5,OVER,PAPER-V3.1,-141.0,betrivers,5.413,0.639,0.639,0.556,0.082,3.0,H3,raw_8pp,t4,73.51,A,0.025,0.007,0.0,0.0,0.0,640455.0,48.0,Mixed signals,MIXED,7 internal/verified areas checked
