pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Jack Perkins,4.63,5.5,UNDER,-150.0,0.665,0.56,0.105,2,PAPER,0
Shane Baz,5.33,5.5,UNDER,111.0,0.537,0.444,0.093,4,PAPER,0
Andrew Abbott,5.07,5.5,UNDER,-113.0,0.587,0.499,0.088,4,PAPER,0
Ryan Johnson,5.0,5.5,UNDER,-120.0,0.592,0.524,0.067,4,PAPER,0
Sandy Alcantara,5.96,6.5,UNDER,-130.0,0.592,0.532,0.06,4,PAPER,0
