pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Jacob Misiorowski,158,115,6.752,8.5,117.0,betrivers,-123.0,betonlineag,0.249,0.267,0.249,0.251,H0,lcb_1sd_8pp,0.461,-0.212,-0.194,6.0,0.018,0.019,t12,67.177,B,CORROBORATED,False,True,694819.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Connor Prielipp,142,133,5.479,4.5,115.0,draftkings,-140.0,betmgm,0.647,0.629,0.647,0.643,H0,lcb_1sd_8pp,0.447,0.2,0.182,5.0,0.018,0.005,t12,81.159,A,CORROBORATED,False,True,687570.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Cristopher Sánchez,143,147,6.272,7.5,106.0,fanduel,-130.0,betonlineag,0.286,0.318,0.286,0.276,H0,lcb_1sd_8pp,0.462,-0.175,-0.144,5.0,0.032,0.006,t12,74.175,A,CORROBORATED,False,True,650911.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Ranger Suarez,111,141,5.23,4.5,114.0,betrivers,-117.0,draftkings,0.598,0.598,0.611,0.598,H3,raw_8pp,0.468,0.13,0.13,6.0,0.055,0.016,t4,48.004,B,CORROBORATED,False,True,624133.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Andrew Abbott,113,138,4.666,3.5,-146.0,fanduel,120.0,fanatics,0.697,0.679,0.697,0.696,H0,lcb_1sd_8pp,0.565,0.131,0.114,6.0,0.018,0.005,t12,88.172,A,CORROBORATED,False,True,671096.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Erick Fedde,145,117,3.793,3.5,128.0,fanduel,-148.0,draftkings,0.541,0.532,0.541,0.543,H0,lcb_1sd_8pp,0.426,0.115,0.106,7.0,0.009,0.009,t12,84.775,A,CORROBORATED,True,True,607200.0,OVER,PAPER-CONV,0.0,0.0,0.0,False
Walker Buehler,135,146,4.479,3.5,-140.0,betmgm,128.0,fanduel,0.66,0.66,0.663,0.66,H3,raw_8pp,0.573,0.087,0.087,5.0,0.019,0.016,t4,75.188,A,CORROBORATED,False,True,621111.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Logan Gilbert,136,140,5.89,6.5,-105.0,fanatics,-118.0,fanduel,0.374,0.403,0.374,0.366,H0,lcb_1sd_8pp,0.487,-0.113,-0.085,6.0,0.029,0.004,t12,82.012,A,CORROBORATED,True,True,669302.0,UNDER,PAPER-CONV,0.0,0.0,0.0,False
Cristopher Sánchez,143,147,6.272,6.5,-155.0,betmgm,115.0,betmgm,0.448,0.483,0.448,0.438,H0,lcb_1sd_8pp,0.567,-0.119,-0.084,1.0,0.035,0.0,t12,37.527,C,LOW,False,False,650911.0,-,,0.0,0.0,0.0,True
Reynaldo López,144,110,4.799,5.5,128.0,draftkings,-156.0,betonlineag,0.346,0.346,0.342,0.346,H3,raw_8pp,0.422,-0.076,-0.076,3.0,0.014,0.006,t4,76.144,A,CORROBORATED,False,False,625643.0,-,,0.0,0.0,0.0,False
Janson Junk,146,135,4.156,3.5,-128.0,fanduel,116.0,draftkings,0.613,0.613,0.614,0.613,H3,raw_8pp,0.539,0.074,0.074,7.0,0.014,0.013,t4,79.968,A,CORROBORATED,False,False,676083.0,-,,0.0,0.0,0.0,False
