pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Ronel Blanco,117,146,5.446,4.5,140,betmgm,-190,betmgm,0.656,0.632,0.656,0.65,H0,lcb_1sd_8pp,0.389,0.267,0.244,1,0.023,0.0,t12,49.732,C,LOW,False,True,669854,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Ronel Blanco,117,146,5.446,3.5,-143,draftkings,118,betrivers,0.81,0.797,0.81,0.806,H0,lcb_1sd_8pp,0.561,0.249,0.236,5,0.013,0.006,t12,89.892,A,CORROBORATED,False,False,669854,-,,0.0,0.0,0.0,True
Jacob Misiorowski,158,121,7.417,9.5,105,betmgm,-140,betmgm,0.212,0.249,0.212,0.205,H0,lcb_1sd_8pp,0.455,-0.243,-0.206,1,0.037,0.0,t12,28.474,C,LOW,False,True,694819,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Trevor McDonald,137,118,4.329,3.5,120,betrivers,-140,betmgm,0.635,0.622,0.635,0.636,H0,lcb_1sd_8pp,0.439,0.196,0.184,7,0.013,0.009,t12,77.5,A,CORROBORATED,False,True,686790,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Jacob Misiorowski,158,121,7.417,8.5,-132,fanduel,123,draftkings,0.326,0.372,0.326,0.316,H0,lcb_1sd_8pp,0.548,-0.222,-0.175,5,0.046,0.015,t12,43.481,C,LOW,False,False,694819,-,,0.0,0.0,0.0,True
Ryan Weathers,147,134,5.447,6.5,112,betrivers,-123,draftkings,0.298,0.31,0.298,0.293,H0,lcb_1sd_8pp,0.468,-0.171,-0.158,6,0.013,0.013,t12,78.008,A,CORROBORATED,False,True,677960,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
George Kirby,136,113,5.685,6.5,-111,draftkings,100,betrivers,0.347,0.383,0.347,0.336,H0,lcb_1sd_8pp,0.51,-0.163,-0.127,7,0.036,0.012,t12,59.977,B,CORROBORATED,False,True,669923,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Jeffrey Springs,133,109,4.261,3.5,-102,fanduel,-105,betmgm,0.624,0.612,0.624,0.622,H0,lcb_1sd_8pp,0.494,0.13,0.118,6,0.012,0.014,t12,80.753,A,CORROBORATED,False,True,605488,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Nick Martinez,139,141,3.741,3.5,129,draftkings,-148,fanduel,0.536,0.521,0.536,0.54,H0,lcb_1sd_8pp,0.423,0.113,0.099,7,0.014,0.01,t12,80.108,A,CORROBORATED,True,True,607259,OVER,PAPER-CONV,0.0,0.0,0.0,False
Bryce Elder,144,135,4.415,3.5,-136,betrivers,125,betmgm,0.656,0.646,0.656,0.657,H0,lcb_1sd_8pp,0.554,0.102,0.092,6,0.01,0.015,t12,80.446,A,CORROBORATED,True,True,693821,OVER,PAPER-CONV,0.0,0.0,0.0,False
Jameson Taillon,112,116,4.5,3.5,-152,betrivers,124,fanduel,0.666,0.661,0.666,0.665,H0,lcb_1sd_8pp,0.572,0.095,0.09,5,0.005,0.005,t12,91.353,A,CORROBORATED,False,True,592791,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Michael Wacha,118,137,5.064,4.5,105,bovada,-129,betrivers,0.578,0.554,0.578,0.576,H0,lcb_1sd_8pp,0.465,0.112,0.088,6,0.024,0.007,t12,77.449,A,CORROBORATED,True,True,608379,OVER,PAPER-CONV,0.0,0.0,0.0,False
Andrew Abbott,113,136,4.689,5.5,122,draftkings,-156,draftkings,0.321,0.338,0.321,0.324,H0,lcb_1sd_8pp,0.425,-0.104,-0.087,1,0.017,0.0,t12,54.296,B,CORROBORATED,True,True,671096,UNDER,PAPER-CONV,0.0,0.0,0.0,False
Erick Fedde,145,140,3.875,3.5,112,fanduel,-125,draftkings,0.543,0.52,0.543,0.539,H0,lcb_1sd_8pp,0.456,0.087,0.065,6,0.022,0.011,t12,75.406,A,CORROBORATED,False,False,607200,-,,0.0,0.0,0.0,False
Jameson Taillon,112,116,4.5,4.5,130,betmgm,-175,betmgm,0.477,0.46,0.477,0.48,H0,lcb_1sd_8pp,0.406,0.071,0.054,1,0.017,0.0,t12,53.017,B,CORROBORATED,False,False,592791,-,,0.0,0.0,0.0,False
JP Sears,135,144,4.244,3.5,-140,fanatics,116,draftkings,0.633,0.61,0.633,0.627,H0,lcb_1sd_8pp,0.557,0.076,0.054,7,0.022,0.007,t12,80.042,A,CORROBORATED,False,False,676664,-,,0.0,0.0,0.0,False
José Soriano,108,138,5.376,4.5,-151,draftkings,130,fanduel,0.642,0.623,0.642,0.64,H0,lcb_1sd_8pp,0.582,0.059,0.04,4,0.019,0.009,t12,76.38,A,CORROBORATED,False,False,667755,-,,0.0,0.0,0.0,False
Andrew Abbott,113,136,4.689,4.5,-140,betmgm,120,fanduel,0.517,0.525,0.517,0.516,H0,lcb_1sd_8pp,0.562,-0.044,-0.037,5,0.008,0.011,t12,83.269,A,CORROBORATED,False,False,671096,-,,0.0,0.0,0.0,False
Kyle Freeland,115,120,4.619,4.5,120,betmgm,-134,draftkings,0.5,0.477,0.5,0.498,H0,lcb_1sd_8pp,0.445,0.055,0.033,6,0.022,0.011,t12,73.479,A,CORROBORATED,False,False,607536,-,,0.0,0.0,0.0,False
Joe Ryan,142,114,6.43,6.5,-120,fanduel,103,betonlineag,0.47,0.489,0.47,0.463,H0,lcb_1sd_8pp,0.521,-0.052,-0.032,6,0.02,0.01,t12,79.15,A,CORROBORATED,False,False,657746,-,,0.0,0.0,0.0,False
Braxton Ashcraft,134,147,6.177,6.5,-115,fanduel,-105,fanatics,0.432,0.478,0.432,0.42,H0,lcb_1sd_8pp,0.507,-0.075,-0.03,7,0.045,0.007,t12,52.54,B,CORROBORATED,False,False,677952,-,,0.0,0.0,0.0,False
Jacob deGrom,140,145,6.457,6.5,-143,betrivers,115,betonlineag,0.473,0.536,0.473,0.457,H0,lcb_1sd_8pp,0.56,-0.087,-0.024,7,0.063,0.005,t12,59.746,B,CORROBORATED,False,False,594798,-,,0.0,0.0,0.0,False
José Soriano,108,138,5.376,5.5,123,betrivers,-155,betmgm,0.461,0.449,0.461,0.458,H0,lcb_1sd_8pp,0.426,0.035,0.023,2,0.013,0.007,t12,72.627,A,CORROBORATED,False,False,667755,-,,0.0,0.0,0.0,False
Emmet Sheehan,119,143,5.459,5.5,-115,draftkings,105,betmgm,0.474,0.494,0.474,0.471,H0,lcb_1sd_8pp,0.516,-0.042,-0.022,6,0.02,0.014,t12,74.167,A,CORROBORATED,False,False,686218,-,,0.0,0.0,0.0,False
Dylan Cease,141,139,6.943,7.5,120,betrivers,-130,draftkings,0.387,0.433,0.387,0.377,H0,lcb_1sd_8pp,0.445,-0.058,-0.013,6,0.046,0.015,t12,50.937,C,LOW,False,False,656302,-,,0.0,0.0,0.0,False
Jack Flaherty,116,112,5.184,5.5,107,betrivers,-128,draftkings,0.419,0.45,0.419,0.421,H0,lcb_1sd_8pp,0.461,-0.042,-0.011,7,0.031,0.007,t12,70.629,A,CORROBORATED,False,False,656427,-,,0.0,0.0,0.0,False
