pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
J.T. Ginn,5.07,6.5,UNDER,-150.0,0.736,0.558,0.179,1,PAPER,0
Michael Lorenzen,5.15,5.5,UNDER,135.0,0.565,0.396,0.169,1,PAPER,0
Sean Manaea,5.18,5.5,UNDER,115.0,0.557,0.447,0.11,4,PAPER,0
Brady Singer,5.39,6.5,UNDER,-155.0,0.677,0.567,0.11,1,PAPER,0
Grayson Rodriguez,5.22,5.5,UNDER,100.0,0.559,0.477,0.082,4,PAPER,0
Jesús Luzardo,4.87,5.5,UNDER,-146.0,0.626,0.557,0.07,3,PAPER,0
Shane Bieber,5.23,5.5,UNDER,-105.0,0.543,0.481,0.062,4,PAPER,0
Matthew Boyd,5.49,5.5,UNDER,115.0,0.499,0.452,0.047,3,PAPER,0
