pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Paul Skenes,134,113,8.5,UNDER,PAPER-V3.1,-152.0,draftkings,6.917,0.265,0.298,0.43,-0.131,4.0,H0,lcb_1sd_8pp,t12,71.555,A,0.033,0.004,0.0,0.0,0.0,694973.0,41.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Hunter Brown,117,140,6.5,UNDER,PAPER-CONV,-155.0,betmgm,5.55,0.31,0.323,0.427,-0.104,3.0,H0,lcb_1sd_8pp,t12,78.113,A,0.013,0.006,0.0,0.0,0.0,686613.0,43.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Casey Mize,116,133,4.5,OVER,PAPER-CONV,112.0,betrivers,5.02,0.558,0.546,0.453,0.093,7.0,H0,lcb_1sd_8pp,t12,86.092,A,0.012,0.008,0.0,0.0,0.0,663554.0,48.0,Mixed signals,MIXED,7 internal/verified areas checked
