pitcher,team,opp,proj_ks,line
Sandy Alcantara,146,109,4.279,
Reynaldo López,144,112,4.53,
Tarik Skubal,119,113,6.994,
Casey Mize,135,115,4.498,
José Soriano,141,116,5.118,
Nick Lodolo,113,119,4.832,
Brandon Young,110,121,4.428,
Tomoyuki Sugano,115,135,3.853,
Reid Detmers,108,136,6.779,
Quinn Mathews,138,137,5.121,
Landen Roupp,137,138,4.307,
Troy Melton,116,141,4.494,
Will Warren,147,142,4.906,
David Peterson,112,144,4.552,
Gavin Williams,114,145,7.116,
Corbin Burnes,109,146,5.126,
Dean Kremer,142,147,4.57,
