pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Michael Lorenzen,5.45,6.5,UNDER,100.0,0.684,0.509,0.175,4,PAPER,0
Luinder Avila,4.63,5.5,UNDER,-155.0,0.658,0.565,0.093,3,PAPER,0
Framber Valdez,5.12,5.5,UNDER,-115.0,0.578,0.505,0.073,4,PAPER,0
Kyle Bradish,5.02,5.5,UNDER,-130.0,0.585,0.519,0.066,1,PAPER,0
Zac Thornton,4.81,5.5,UNDER,-165.0,0.635,0.58,0.055,3,PAPER,0
Jack Perkins,4.29,4.5,UNDER,-109.0,0.556,0.504,0.052,4,PAPER,0
