pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Zebby Matthews,5.28,6.5,UNDER,-160.0,0.716,0.575,0.141,1,PAPER,0
Ryan Feltner,5.34,5.5,UNDER,115.0,0.531,0.438,0.093,4,PAPER,0
Framber Valdez,5.66,6.5,UNDER,-150.0,0.631,0.559,0.072,2,PAPER,0
Jeffrey Springs,5.03,5.5,UNDER,-130.0,0.594,0.538,0.056,4,PAPER,0
