pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Randy Dobnak,118,133,4.214,3.5,122.0,fanduel,-121.0,betrivers,0.621,0.61,0.621,0.622,H0,lcb_1sd_8pp,0.448,0.173,0.162,6.0,0.011,0.022,t12,70.32,A,CORROBORATED,False,True,677976.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Shane Bieber,141,139,4.459,3.5,-117.0,betrivers,102.0,draftkings,0.66,0.66,0.67,0.66,H3,raw_8pp,0.523,0.137,0.137,7.0,0.03,0.009,t4,67.33,A,CORROBORATED,False,True,669456.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Brady Singer,113,138,4.966,4.5,120.0,betrivers,-135.0,betmgm,0.578,0.578,0.568,0.578,H3,raw_8pp,0.448,0.13,0.13,7.0,0.035,0.014,t4,61.25,B,CORROBORATED,False,True,663903.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Gerrit Cole,147,110,5.831,6.5,-102.0,fanduel,-110.0,betmgm,0.364,0.378,0.364,0.363,H0,lcb_1sd_8pp,0.496,-0.132,-0.117,5.0,0.014,0.016,t12,77.14,A,CORROBORATED,False,True,543037.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Landen Roupp,137,114,4.827,4.5,120.0,betonlineag,-138.0,draftkings,0.538,0.538,0.542,0.538,H3,raw_8pp,0.437,0.101,0.101,7.0,0.025,0.007,t4,80.786,A,CORROBORATED,False,True,694738.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Ian Seymour,139,141,6.073,5.5,102.0,betrivers,-123.0,draftkings,0.562,0.562,0.574,0.562,H3,raw_8pp,0.471,0.091,0.091,6.0,0.04,0.009,t4,59.185,B,CORROBORATED,False,True,693855.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Grayson Rodriguez,108,117,5.206,4.5,-111.0,fanduel,100.0,betmgm,0.613,0.59,0.613,0.609,H0,lcb_1sd_8pp,0.514,0.1,0.076,7.0,0.023,0.014,t12,67.205,B,CORROBORATED,False,False,680570.0,-,,0.0,0.0,0.0,False
Gavin Williams,114,137,6.948,7.5,115.0,bovada,-117.0,draftkings,0.387,0.387,0.394,0.387,H3,raw_8pp,0.451,-0.064,-0.064,6.0,0.046,0.02,t4,47.608,B,CORROBORATED,False,False,668909.0,-,,0.0,0.0,0.0,False
Gage Jump,133,118,5.513,4.5,-148.0,betrivers,128.0,betonlineag,0.647,0.634,0.647,0.651,H0,lcb_1sd_8pp,0.574,0.073,0.06,7.0,0.013,0.012,t12,75.305,A,CORROBORATED,False,False,695611.0,-,,0.0,0.0,0.0,False
George Kirby,136,158,4.711,5.5,125.0,betmgm,-185.0,betmgm,0.329,0.348,0.329,0.333,H0,lcb_1sd_8pp,0.406,-0.077,-0.059,1.0,0.018,0.0,t12,53.68,B,CORROBORATED,False,False,669923.0,-,,0.0,0.0,0.0,False
