pitcher,team,opp,proj_ks,line
Taj Bradley,142,108,6.19,
Dustin May,158,110,4.987,
Ian Seymour,139,111,6.354,
Clay Holmes,112,113,4.503,
Mason Barnett,133,114,3.753,
Bryan Woo,136,115,5.761,
Tyler Mahle,144,117,4.689,
Paul Skenes,134,118,5.88,
Kyle Leahy,138,120,4.871,
Andrew Painter,143,121,4.625,
Randy Dobnak,118,134,4.165,
Tyler Phillips,146,135,3.844,
Tyler Glasnow,119,137,6.635,
Cade Cavalli,120,138,6.095,
Ranger Suarez,111,139,4.626,
Sonny Gray,111,140,5.193,
Dylan Cease,141,140,6.695,
Kumar Rocker,140,141,4.457,
Grayson Rodriguez,108,142,5.235,
Walbert Ureña,108,142,5.352,
Zac Thornton,121,143,4.127,
Peter Lambert,117,144,4.924,
Nick Pivetta,135,146,5.446,
Eduardo Rodriguez,109,147,5.123,
