pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Taj Bradley,4.91,5.5,UNDER,-123.0,0.61,0.526,0.084,3,PAPER,0
Chris Bassitt,5.16,5.5,UNDER,-115.0,0.574,0.506,0.068,4,PAPER,0
Seth Lugo,5.76,6.5,UNDER,-159.0,0.623,0.575,0.048,2,PAPER,0
