pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Reid Detmers,108,143,5.707,6.5,100.0,fanduel,-117.0,betrivers,0.336,0.349,0.336,0.333,H0,lcb_1sd_8pp,0.478,-0.142,-0.129,7.0,0.013,0.011,t12,80.568,A,CORROBORATED,False,True,672282.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Tomoyuki Sugano,115,144,3.842,2.5,-186.0,fanduel,145.0,bovada,0.753,0.738,0.753,0.755,H0,lcb_1sd_8pp,0.615,0.138,0.124,2.0,0.014,0.001,t12,81.16,A,CORROBORATED,False,True,608372.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Jackson Kent,120,146,4.995,3.5,-150.0,draftkings,132.0,fanduel,0.739,0.701,0.739,0.739,H0,lcb_1sd_8pp,0.584,0.154,0.117,5.0,0.037,0.01,t12,55.551,B,CORROBORATED,False,True,800600.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Jackson Kent,120,146,4.995,4.5,118.0,betrivers,-157.0,betrivers,0.568,0.529,0.568,0.566,H0,lcb_1sd_8pp,0.429,0.139,0.1,1.0,0.04,0.0,t12,25.76,C,LOW,False,False,800600.0,-,,0.0,0.0,0.0,True
Rhett Lowder,113,112,4.613,3.5,-146.0,fanduel,120.0,betmgm,0.689,0.66,0.689,0.692,H0,lcb_1sd_8pp,0.564,0.124,0.095,6.0,0.029,0.005,t12,74.256,A,CORROBORATED,False,True,695076.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Casey Mize,135,139,4.311,3.5,-124.0,draftkings,105.0,bovada,0.643,0.623,0.643,0.636,H0,lcb_1sd_8pp,0.53,0.113,0.093,6.0,0.02,0.007,t12,83.607,A,CORROBORATED,True,True,663554.0,OVER,PAPER-CONV,0.0,0.0,0.0,False
Tomoyuki Sugano,115,144,3.842,3.5,135.0,betrivers,-152.0,draftkings,0.537,0.513,0.537,0.538,H0,lcb_1sd_8pp,0.422,0.115,0.09,4.0,0.024,0.015,t12,67.036,B,CORROBORATED,False,False,608372.0,-,,0.0,0.0,0.0,True
Michael Wacha,118,114,4.431,3.5,-150.0,fanduel,118.0,fanduel,0.658,0.651,0.658,0.658,H0,lcb_1sd_8pp,0.565,0.093,0.086,2.0,0.007,0.002,t12,79.809,A,CORROBORATED,False,True,608379.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Brandon Young,110,133,4.622,3.5,-164.0,fanduel,128.0,fanduel,0.688,0.661,0.688,0.681,H0,lcb_1sd_8pp,0.585,0.104,0.076,2.0,0.028,0.001,t12,65.789,B,CORROBORATED,True,False,687064.0,-,PAPER-CONV,0.0,0.0,0.0,False
Rhett Lowder,113,112,4.613,4.5,130.0,betrivers,-175.0,betrivers,0.497,0.466,0.497,0.498,H0,lcb_1sd_8pp,0.406,0.091,0.06,1.0,0.031,0.0,t12,39.122,C,LOW,False,False,695076.0,-,,0.0,0.0,0.0,False
