pitcher,team,opp,proj_ks,line
Logan Gilbert,136,108,6.402,
Sandy Alcantara,146,109,4.273,
Sean Manaea,121,110,5.381,
Martín Pérez,144,112,3.837,
Yoshinobu Yamamoto,119,113,6.508,
Davis Martin,145,114,3.72,
Walker Buehler,135,115,4.606,
Casey Mize,135,115,4.448,
Braydon Fisher,141,116,4.019,
Michael Wacha,118,117,4.994,
Hunter Brown,117,118,5.813,
Rhett Lowder,113,119,4.198,
Cristopher Sánchez,143,120,5.959,
Shane Baz,110,121,5.119,
Griffin Jax,139,133,4.746,
Jacob Misiorowski,158,134,6.553,
Kyle Freeland,115,135,3.955,
Tomoyuki Sugano,115,135,3.87,
Reid Detmers,108,136,6.379,
Ryan Johnson,108,136,4.454,
Andre Pallante,138,137,4.183,
Blade Tidwell,137,138,4.219,
Jack Perkins,133,139,4.496,
Patrick Sandoval,111,140,5.239,
Drew Anderson,116,141,4.476,
Max Fried,147,142,5.079,
Jackson Kent,120,143,4.387,
Kevin Gausman,112,144,5.762,
Foster Griffin,114,145,5.244,
Michael Soroka,109,146,4.722,
Corbin Burnes,109,146,5.076,
Bailey Ober,142,147,4.497,
Lake Bachar,134,158,4.364,
