pitcher,team,opp,proj_ks,line
Kyle Freeland,115,109,4.034,
Max Scherzer,141,110,4.345,
Parker Messick,114,111,5.98,
Janson Junk,146,112,3.523,
Payton Tolle,111,114,6.142,
Michael Soroka,109,115,4.655,
Logan Gilbert,136,117,6.305,
Anthony Kay,145,118,4.285,
Michael King,135,119,4.849,
Drew Anderson,116,120,4.924,
MacKenzie Gore,140,121,4.762,
Yusei Kikuchi,108,133,4.533,
Andre Pallante,138,134,3.927,
Cristian Javier,117,136,4.512,
Taj Bradley,142,137,6.507,
Zebby Matthews,142,137,5.056,
Jared Jones,134,138,5.777,
Carlos Rodón,147,139,5.658,
Max Fried,147,139,5.378,
Sean Manaea,121,140,5.05,
Chris Bassitt,110,141,4.271,
Anthony Molina,137,142,4.394,
Dustin May,158,143,4.672,
Brandon Williamson,113,144,3.932,
Daniel Lynch IV,118,145,4.168,
Nick Martinez,139,147,4.011,
Drew Rasmussen,139,147,5.343,
Zack Wheeler,143,158,6.576,
