pitcher,team,opp,proj_ks,line
Jeffrey Springs,133,108,4.434,
Max Scherzer,141,110,4.283,
Foster Griffin,114,111,4.806,
Ryan Gusto,146,112,4.115,
Chris Sale,144,113,7.463,
Sonny Gray,111,114,5.417,
Merrill Kelly,109,115,4.225,
Michael Soroka,109,115,4.479,
Logan Gilbert,136,117,6.607,
George Kirby,136,117,5.215,
Robbie Ray,135,119,4.136,
Michael King,135,119,4.817,
Framber Valdez,116,120,4.57,
MacKenzie Gore,140,121,4.789,
Yusei Kikuchi,108,133,4.735,
Walbert Ureña,108,133,5.5,
Matthew Liberatore,138,134,4.705,
Yoshinobu Yamamoto,119,135,6.219,
Taj Bradley,142,137,6.095,
Connor Prielipp,142,137,5.325,
Lake Bachar,134,138,4.4,
Gerrit Cole,147,139,5.705,
Sean Manaea,121,140,5.082,
Nolan McLean,121,140,5.824,
Anthony Molina,137,142,4.318,
Cesar Perdomo,137,142,3.897,
Logan Henderson,158,143,6.036,
Andrew Abbott,113,144,4.378,
Seth Lugo,118,145,4.755,
Kevin Gausman,112,146,5.869,
Ian Seymour,139,147,5.757,
Aaron Nola,143,158,5.552,
