pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Seth Lugo,5.29,5.5,UNDER,112.0,0.55,0.45,0.101,3,PAPER,0
Andrew Abbott,4.97,5.5,UNDER,-118.0,0.611,0.523,0.088,4,PAPER,0
Paul Skenes,4.71,5.5,UNDER,-145.0,0.649,0.565,0.083,3,PAPER,0
José Soriano,4.95,5.5,UNDER,-130.0,0.612,0.534,0.078,4,PAPER,0
Noah Schultz,4.64,5.5,UNDER,-162.0,0.656,0.581,0.075,2,PAPER,0
Will Warren,5.06,5.5,UNDER,-119.0,0.586,0.511,0.075,4,PAPER,0
Shane Baz,5.4,5.5,UNDER,-104.0,0.524,0.48,0.044,4,PAPER,0
