pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Merrill Kelly,5.25,5.5,UNDER,120.0,0.553,0.419,0.134,1,PAPER,0
Jack Perkins,4.47,5.5,UNDER,-150.0,0.692,0.564,0.128,3,PAPER,0
Martín Pérez,4.84,5.5,UNDER,-119.0,0.627,0.508,0.118,2,PAPER,0
David Peterson,5.14,5.5,UNDER,100.0,0.574,0.486,0.088,4,PAPER,0
Slade Cecconi,5.08,5.5,UNDER,-105.0,0.573,0.487,0.086,3,PAPER,0
Max Scherzer,4.3,4.5,UNDER,-107.0,0.547,0.488,0.059,3,PAPER,0
