pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Roki Sasaki,4.95,5.5,UNDER,-101.0,0.609,0.47,0.139,2,PAPER,0
Kyle Freeland,6.58,7.5,UNDER,-145.0,0.634,0.561,0.074,3,PAPER,0
Sandy Alcantara,5.76,6.5,UNDER,-140.0,0.62,0.548,0.072,4,PAPER,0
Aaron Nola,5.08,5.5,UNDER,-140.0,0.582,0.532,0.05,1,PAPER,0
