pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Erick Fedde,145,142,2.5,OVER,PAPER-V3.1,100.0,betmgm,3.597,0.704,0.684,0.491,0.193,6.0,H0,lcb_1sd_8pp,t12,72.258,A,0.019,0.019,0.0,0.0,0.0,607200.0,9.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Kyle Leahy,138,134,3.5,OVER,PAPER-V3.1,-158.0,draftkings,5.304,0.795,0.777,0.584,0.193,4.0,H0,lcb_1sd_8pp,t12,79.042,A,0.018,0.005,0.0,0.0,0.0,681517.0,68.0,Moderate qualitative confirmation,SUPPORT,7 internal/verified areas checked
Daniel Lynch IV,118,114,2.5,OVER,PAPER-V3.1,-110.0,betmgm,3.631,0.71,0.683,0.499,0.184,3.0,H0,lcb_1sd_8pp,t12,55.392,B,0.027,0.005,0.0,0.0,0.0,663738.0,21.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Jack Perkins,133,110,5.5,UNDER,PAPER-V3.1,108.0,draftkings,4.98,0.371,0.394,0.534,-0.141,3.0,H0,lcb_1sd_8pp,t12,62.722,B,0.022,0.009,0.0,0.0,0.0,678022.0,51.0,Mixed signals,MIXED,7 internal/verified areas checked
Walker Buehler,135,139,3.5,OVER,PAPER-V3.1,110.0,betmgm,4.121,0.602,0.582,0.459,0.122,5.0,H0,lcb_1sd_8pp,t12,80.992,A,0.02,0.009,0.0,0.0,0.0,621111.0,23.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Ryan Johnson,108,143,3.5,OVER,PAPER-V3.1,102.0,fanduel,4.197,0.61,0.589,0.488,0.1,7.0,H0,lcb_1sd_8pp,t12,68.349,A,0.021,0.014,0.0,0.0,0.0,696270.0,40.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Keider Montero,116,119,3.5,OVER,PAPER-V3.1,-105.0,fanatics,4.062,0.589,0.589,0.492,0.098,7.0,H3,raw_8pp,t4,82.05,A,0.025,0.006,0.0,0.0,0.0,672456.0,27.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Bailey Ober,142,145,3.5,OVER,PAPER-CONV,-165.0,betmgm,4.693,0.698,0.685,0.589,0.096,4.0,H0,lcb_1sd_8pp,t12,88.632,A,0.013,0.004,0.0,0.0,0.0,641927.0,61.0,Moderate qualitative confirmation,SUPPORT,7 internal/verified areas checked
Blake Snell,119,116,6.5,UNDER,PAPER-V3.1,108.0,betonlineag,6.251,0.454,0.454,0.539,-0.084,6.0,H3,raw_8pp,t4,78.009,A,0.031,0.007,0.0,0.0,0.0,605483.0,38.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Max Fried,147,111,4.5,OVER,PAPER-CONV,-120.0,fanduel,5.305,0.622,0.6,0.516,0.084,3.0,H0,lcb_1sd_8pp,t12,72.77,A,0.022,0.006,0.0,0.0,0.0,608331.0,25.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
