pitcher,team,opp,proj_ks,line
Noah Cameron,118,109,5.174,
Joey Cantillo,114,110,5.338,
Grayson Rodriguez,108,111,5.22,
Robert Gasser,158,112,4.553,
Trevor Rogers,110,114,5.298,
Andrew Alvarez,120,119,4.325,
Chase Burns,113,119,5.69,
Nick Pivetta,135,120,5.479,
Eury Pérez,146,121,5.661,
Dylan Cease,141,133,6.798,
Jake Irvin,120,135,4.945,
Michael McGreevy,138,137,4.103,
Logan Webb,137,138,4.591,
Jacob Lopez,133,141,5.382,
Troy Melton,116,142,4.943,
Grant Holmes,144,143,4.003,
Jesús Luzardo,143,144,6.825,
Jonah Tong,121,146,4.704,
Matthew Boyd,112,158,4.418,
