pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Tarik Skubal,116,110,6.934,8.5,110.0,betmgm,-114.0,betonlineag,0.251,0.251,0.259,0.251,H3,raw_8pp,0.469,-0.219,-0.219,6.0,0.026,0.018,t4,69.095,A,CORROBORATED,False,True,669373.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Zack Littell,120,141,3.728,2.5,-128.0,fanduel,106.0,betrivers,0.745,0.745,0.742,0.745,H3,raw_8pp,0.533,0.212,0.212,6.0,0.018,0.007,t4,85.188,A,CORROBORATED,False,True,641793.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Jesús Luzardo,143,146,6.378,7.5,-113.0,fanduel,-108.0,betrivers,0.297,0.297,0.3,0.297,H3,raw_8pp,0.505,-0.208,-0.208,4.0,0.014,0.007,t4,87.486,A,CORROBORATED,False,True,666200.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Chris Sale,144,121,6.184,7.5,102.0,fanduel,-130.0,fanduel,0.279,0.311,0.279,0.268,H0,lcb_1sd_8pp,0.469,-0.19,-0.157,3.0,0.033,0.001,t12,70.679,A,CORROBORATED,False,True,519242.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Joey Cantillo,114,113,5.271,6.5,122.0,fanduel,-150.0,betmgm,0.273,0.296,0.273,0.269,H0,lcb_1sd_8pp,0.429,-0.156,-0.133,5.0,0.023,0.007,t12,81.462,A,CORROBORATED,False,True,676282.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Brady Singer,113,114,5.181,4.5,100.0,fanatics,-122.0,betrivers,0.61,0.593,0.61,0.615,H0,lcb_1sd_8pp,0.479,0.132,0.114,6.0,0.017,0.005,t12,85.905,A,CORROBORATED,False,True,663903.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Eric Lauer,119,136,4.422,3.5,-140.0,betmgm,105.0,betmgm,0.658,0.64,0.658,0.658,H0,lcb_1sd_8pp,0.545,0.113,0.095,1.0,0.018,0.0,t12,54.544,B,CORROBORATED,True,True,641778.0,OVER,PAPER-CONV,0.0,0.0,0.0,False
Cam Schlittler,147,145,6.478,7.5,115.0,betmgm,-138.0,fanduel,0.323,0.356,0.323,0.321,H0,lcb_1sd_8pp,0.443,-0.121,-0.088,5.0,0.033,0.008,t12,65.96,B,CORROBORATED,False,True,693645.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Gabriel Hughes,115,135,4.912,4.5,120.0,fanduel,-148.0,betrivers,0.553,0.518,0.553,0.555,H0,lcb_1sd_8pp,0.433,0.119,0.084,5.0,0.035,0.007,t12,62.17,B,CORROBORATED,True,True,687312.0,OVER,PAPER-CONV,0.0,0.0,0.0,False
Sean Manaea,121,144,5.413,4.5,-141.0,betrivers,115.0,bovada,0.639,0.639,0.642,0.639,H3,raw_8pp,0.556,0.082,0.082,3.0,0.025,0.007,t4,73.51,A,CORROBORATED,False,True,640455.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Eduardo Rodriguez,109,134,4.351,4.5,-125.0,betonlineag,105.0,betmgm,0.459,0.459,0.455,0.459,H3,raw_8pp,0.531,-0.071,-0.071,5.0,0.019,0.008,t4,85.447,A,CORROBORATED,False,False,593958.0,-,,0.0,0.0,0.0,False
AJ Smith-Shawver,144,121,4.376,4.5,-115.0,fanduel,-105.0,betmgm,0.451,0.451,0.46,0.451,H3,raw_8pp,0.507,-0.055,-0.055,5.0,0.031,0.009,t4,67.792,A,CORROBORATED,False,False,700363.0,-,,0.0,0.0,0.0,False
Davis Martin,145,147,4.854,5.5,115.0,betmgm,-155.0,betmgm,0.352,0.382,0.352,0.345,H0,lcb_1sd_8pp,0.433,-0.082,-0.052,1.0,0.03,0.0,t12,42.799,C,LOW,False,False,663436.0,-,,0.0,0.0,0.0,False
Emerson Hancock,136,119,4.722,4.5,120.0,fanatics,-135.0,betmgm,0.521,0.492,0.521,0.513,H0,lcb_1sd_8pp,0.445,0.076,0.046,6.0,0.03,0.012,t12,66.988,B,CORROBORATED,False,False,676106.0,-,,0.0,0.0,0.0,False
Hayden Wesneski,117,108,4.378,4.5,-124.0,betrivers,110.0,betmgm,0.455,0.486,0.455,0.448,H0,lcb_1sd_8pp,0.529,-0.073,-0.042,5.0,0.031,0.015,t12,61.669,B,CORROBORATED,False,False,669713.0,-,,0.0,0.0,0.0,False
Trey Yesavage,141,120,5.185,5.5,106.0,fanduel,-125.0,betmgm,0.426,0.426,0.417,0.426,H3,raw_8pp,0.465,-0.039,-0.039,5.0,0.033,0.008,t4,67.756,A,CORROBORATED,False,False,702056.0,-,,0.0,0.0,0.0,False
Matthew Boyd,112,138,4.772,4.5,100.0,fanduel,-108.0,betrivers,0.532,0.518,0.532,0.537,H0,lcb_1sd_8pp,0.482,0.05,0.036,5.0,0.014,0.018,t12,78.063,A,CORROBORATED,False,False,571510.0,-,,0.0,0.0,0.0,False
Eric Lauer,119,136,4.422,4.5,140.0,fanduel,-161.0,betonlineag,0.461,0.439,0.461,0.463,H0,lcb_1sd_8pp,0.405,0.056,0.034,4.0,0.022,0.013,t12,70.017,A,CORROBORATED,False,False,641778.0,-,,0.0,0.0,0.0,False
Logan Webb,137,158,5.156,5.5,116.0,betrivers,-130.0,fanatics,0.417,0.425,0.417,0.418,H0,lcb_1sd_8pp,0.455,-0.038,-0.029,5.0,0.008,0.012,t12,83.423,A,CORROBORATED,False,False,657277.0,-,,0.0,0.0,0.0,False
Grayson Rodriguez,108,117,4.762,4.5,110.0,fanatics,-122.0,betrivers,0.526,0.486,0.526,0.515,H0,lcb_1sd_8pp,0.457,0.069,0.029,6.0,0.04,0.014,t12,49.66,C,LOW,False,False,680570.0,-,,0.0,0.0,0.0,False
