pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Foster Griffin,4.86,6.5,UNDER,-144.0,0.775,0.552,0.223,1,PAPER,0
Hunter Greene,4.56,5.5,UNDER,-114.0,0.685,0.51,0.174,4,PAPER,0
Noah Cameron,5.05,5.5,UNDER,110.0,0.587,0.442,0.145,1,PAPER,0
Nolan McLean,4.57,5.5,UNDER,-135.0,0.682,0.541,0.141,3,PAPER,0
Eduardo Rodriguez,5.54,6.5,UNDER,-155.0,0.662,0.569,0.094,1,PAPER,0
Nathan Eovaldi,5.25,5.5,UNDER,105.0,0.545,0.455,0.09,1,PAPER,0
Shane McClanahan,4.65,5.5,UNDER,-150.0,0.651,0.561,0.09,3,PAPER,0
Ryan Feltner,5.15,5.5,UNDER,100.0,0.572,0.487,0.084,3,PAPER,0
Grant Holmes,4.8,5.5,UNDER,-145.0,0.633,0.56,0.073,2,PAPER,0
Germán Márquez,5.4,5.5,UNDER,-105.0,0.533,0.473,0.059,2,PAPER,0
Sonny Gray,5.13,5.5,UNDER,-121.0,0.578,0.522,0.056,3,PAPER,0
Jacob Lopez,4.4,4.5,UNDER,105.0,0.523,0.472,0.052,4,PAPER,0
Ryan Johnson,4.84,5.5,UNDER,-165.0,0.624,0.583,0.041,2,PAPER,0
