pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Jack Perkins,4.57,5.5,UNDER,-133.0,0.677,0.535,0.141,3,PAPER,0
José Soriano,4.71,5.5,UNDER,-140.0,0.644,0.545,0.099,1,PAPER,0
Nathan Eovaldi,4.69,5.5,UNDER,-153.0,0.653,0.566,0.087,2,PAPER,0
Zack Wheeler,4.45,4.5,UNDER,120.0,0.51,0.443,0.067,2,PAPER,0
Merrill Kelly,5.34,5.5,UNDER,-105.0,0.537,0.484,0.054,3,PAPER,0
Zebby Matthews,5.03,5.5,UNDER,-125.0,0.582,0.534,0.049,3,PAPER,0
Ryan Feltner,5.16,5.5,UNDER,-105.0,0.559,0.512,0.047,4,PAPER,0
Shane Baz,5.2,5.5,UNDER,-120.0,0.56,0.517,0.043,4,PAPER,0
