pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Max Scherzer,141,139,3.5,OVER,PAPER-CONV,-113.0,fanduel,4.271,0.617,0.601,0.507,0.093,7.0,H0,lcb_1sd_8pp,t12,71.637,A,0.017,0.009,0.0,0.0,0.0,453286.0,32.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Brandon Pfaadt,109,111,3.5,OVER,PAPER-CONV,-112.0,draftkings,4.231,0.613,0.588,0.506,0.082,5.0,H0,lcb_1sd_8pp,t12,68.794,A,0.025,0.013,0.0,0.0,0.0,694297.0,39.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Matthew Liberatore,138,113,5.5,UNDER,PAPER-CONV,-104.0,fanduel,5.047,0.391,0.428,0.51,-0.082,7.0,H0,lcb_1sd_8pp,t12,60.279,B,0.037,0.013,0.0,0.0,0.0,669461.0,43.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
