pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Andre Pallante,5.43,6.5,UNDER,-155.0,0.683,0.567,0.116,1,PAPER,0
Cristopher Sánchez,5.49,6.5,UNDER,-155.0,0.671,0.567,0.105,1,PAPER,0
Mason Barnett,4.87,5.5,UNDER,-125.0,0.62,0.526,0.093,3,PAPER,0
Cody Bradford,4.63,5.5,UNDER,-170.0,0.667,0.581,0.086,1,PAPER,0
Tomoyuki Sugano,5.55,6.5,UNDER,-158.0,0.658,0.574,0.084,2,PAPER,0
Brandon Young,5.3,5.5,UNDER,105.0,0.543,0.467,0.077,4,PAPER,0
Nick Lodolo,4.34,4.5,UNDER,107.0,0.536,0.464,0.072,3,PAPER,0
Nolan McLean,4.82,5.5,UNDER,-139.0,0.618,0.546,0.072,2,PAPER,0
