pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Blake Snell,119,134,8.5,UNDER,PAPER-V3.1,-110.0,betmgm,6.348,0.196,0.209,0.498,-0.289,7.0,H0,lcb_1sd_8pp,t12,84.224,A,0.013,0.008,0.0,0.0,0.0,605483.0,9.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Tomoyuki Sugano,115,114,2.5,OVER,PAPER-V3.1,100.0,fanduel,3.862,0.754,0.73,0.483,0.248,7.0,H0,lcb_1sd_8pp,t12,73.226,A,0.024,0.013,0.0,0.0,0.0,608372.0,34.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Daniel Lynch IV,118,116,2.5,OVER,PAPER-V3.1,-115.0,betmgm,4.039,0.784,0.76,0.519,0.241,5.0,H0,lcb_1sd_8pp,t12,58.893,B,0.024,0.011,0.0,0.0,0.0,663738.0,25.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Andrew Abbott,113,109,3.5,OVER,PAPER-V3.1,126.0,fanduel,4.532,0.663,0.65,0.441,0.208,6.0,H0,lcb_1sd_8pp,t12,77.974,A,0.013,0.018,0.0,0.0,0.0,671096.0,18.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Janson Junk,146,120,3.5,OVER,PAPER-V3.1,116.0,fanduel,4.209,0.627,0.627,0.451,0.175,6.0,H3,raw_8pp,t4,71.725,A,0.021,0.019,0.0,0.0,0.0,676083.0,40.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Cristopher Sánchez,143,138,6.5,UNDER,PAPER-V3.1,113.0,draftkings,6.017,0.387,0.387,0.55,-0.163,7.0,H3,raw_8pp,t4,61.098,B,0.051,0.007,0.0,0.0,0.0,650911.0,36.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Kyle Leahy,138,143,3.5,OVER,PAPER-V3.1,104.0,betrivers,4.552,0.666,0.666,0.513,0.153,6.0,H3,raw_8pp,t4,53.276,B,0.036,0.028,0.0,0.0,0.0,681517.0,28.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Shane Baz,110,139,4.5,OVER,PAPER-V3.1,110.0,fanatics,5.24,0.613,0.613,0.465,0.148,6.0,H3,raw_8pp,t4,74.678,A,0.017,0.019,0.0,0.0,0.0,669358.0,32.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Shane Drohan,158,144,4.5,OVER,PAPER-V3.1,106.0,betrivers,5.307,0.614,0.605,0.477,0.128,7.0,H0,lcb_1sd_8pp,t12,72.928,A,0.009,0.02,0.0,0.0,0.0,675660.0,79.0,Strong qualitative confirmation,SUPPORT,7 internal/verified areas checked
Walker Buehler,135,142,3.5,OVER,PAPER-V3.1,-124.0,betrivers,4.34,0.642,0.626,0.543,0.083,6.0,H0,lcb_1sd_8pp,t12,77.596,A,0.016,0.014,0.0,0.0,0.0,621111.0,4.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
José Soriano,141,147,5.5,UNDER,PAPER-V3.1,-115.0,betmgm,4.98,0.377,0.377,0.459,-0.082,7.0,H3,raw_8pp,t4,78.386,A,0.014,0.018,0.0,0.0,0.0,667755.0,46.0,Mixed signals,MIXED,7 internal/verified areas checked
Bailey Ober,142,135,3.5,OVER,PAPER-V3.1,-106.0,fanduel,4.157,0.601,0.582,0.502,0.08,7.0,H0,lcb_1sd_8pp,t12,74.695,A,0.019,0.019,0.0,0.0,0.0,641927.0,31.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
