pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Carmen Mlodzinski,134,116,2.5,OVER,PAPER-V3.1,-137.0,betrivers,4.016,0.772,0.749,0.562,0.187,6.0,H0,lcb_1sd_8pp,t12,61.208,B,0.023,0.015,0.0,0.0,0.0,669387.0,32.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Tomoyuki Sugano,115,119,2.5,OVER,PAPER-V3.1,-150.0,betmgm,3.893,0.756,0.735,0.57,0.165,5.0,H0,lcb_1sd_8pp,t12,83.6,A,0.021,0.007,0.0,0.0,0.0,608372.0,49.0,Mixed signals,MIXED,7 internal/verified areas checked
Mason Barnett,133,118,3.5,OVER,PAPER-V3.1,119.0,draftkings,4.29,0.633,0.609,0.445,0.164,7.0,H0,lcb_1sd_8pp,t12,67.59,B,0.024,0.01,0.0,0.0,0.0,686930.0,38.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Bailey Ober,142,144,3.5,OVER,PAPER-V3.1,100.0,fanduel,4.335,0.642,0.629,0.481,0.148,7.0,H0,lcb_1sd_8pp,t12,81.854,A,0.014,0.012,0.0,0.0,0.0,641927.0,50.0,Mixed signals,MIXED,7 internal/verified areas checked
Blake Snell,119,115,6.5,UNDER,PAPER-V3.1,121.0,betonlineag,6.123,0.422,0.448,0.567,-0.119,5.0,H0,lcb_1sd_8pp,t12,74.878,A,0.026,0.006,0.0,0.0,0.0,605483.0,46.0,Mixed signals,MIXED,7 internal/verified areas checked
Brandon Young,110,139,3.5,OVER,PAPER-V3.1,-129.0,betrivers,4.597,0.685,0.657,0.542,0.115,7.0,H0,lcb_1sd_8pp,t12,63.303,B,0.028,0.014,0.0,0.0,0.0,687064.0,50.0,Mixed signals,MIXED,7 internal/verified areas checked
Shota Imanaga,112,145,5.5,UNDER,PAPER-CONV,115.0,betmgm,5.214,0.427,0.442,0.533,-0.092,6.0,H0,lcb_1sd_8pp,t12,77.823,A,0.015,0.016,0.0,0.0,0.0,684007.0,37.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Cristopher Sánchez,143,146,6.5,UNDER,PAPER-V3.1,120.0,draftkings,6.184,0.435,0.469,0.561,-0.092,7.0,H0,lcb_1sd_8pp,t12,66.207,B,0.035,0.009,0.0,0.0,0.0,650911.0,36.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Janson Junk,146,143,3.5,OVER,PAPER-CONV,132.0,fanduel,3.777,0.536,0.501,0.421,0.081,6.0,H0,lcb_1sd_8pp,t12,60.733,B,0.034,0.013,0.0,0.0,0.0,676083.0,21.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Martín Pérez,144,142,3.5,OVER,PAPER-V3.1,105.0,betmgm,4.094,0.589,0.57,0.49,0.08,6.0,H0,lcb_1sd_8pp,t12,72.826,A,0.019,0.017,0.0,0.0,0.0,527048.0,46.0,Mixed signals,MIXED,7 internal/verified areas checked
