pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Kyle Freeland,5.84,6.5,UNDER,120.0,0.619,0.44,0.179,4,PAPER,0
Cristopher Sánchez,5.07,6.5,UNDER,-158.0,0.737,0.574,0.163,2,PAPER,0
Michael Wacha,5.5,6.5,UNDER,-115.0,0.663,0.513,0.149,4,PAPER,0
Jeffrey Springs,4.88,5.5,UNDER,-105.0,0.621,0.486,0.136,3,PAPER,0
Shane Baz,5.31,5.5,UNDER,111.0,0.545,0.443,0.102,3,PAPER,0
Trevor McDonald,5.26,5.5,UNDER,105.0,0.539,0.458,0.081,3,PAPER,0
Erick Fedde,4.97,5.5,UNDER,-127.0,0.607,0.526,0.081,3,PAPER,0
JP Sears,5.12,5.5,UNDER,-119.0,0.573,0.514,0.058,4,PAPER,0
Bryce Elder,4.95,5.5,UNDER,-141.0,0.61,0.554,0.056,3,PAPER,0
Jack Flaherty,4.44,4.5,UNDER,100.0,0.517,0.467,0.05,3,PAPER,0
José Soriano,4.9,5.5,UNDER,-160.0,0.62,0.575,0.045,1,PAPER,0
Freddy Peralta,4.58,4.5,UNDER,120.0,0.494,0.451,0.043,4,PAPER,0
