pitcher,team,opp,proj_ks,line
Cristian Javier,117,109,4.366,
Ranger Suarez,111,110,4.69,
Shane Baz,110,111,5.08,
Janson Junk,146,112,3.872,
Shane Drohan,158,113,4.938,
Keider Montero,116,114,3.704,
Andre Pallante,138,115,4.242,
Foster Griffin,114,116,5.201,
Logan Allen,114,116,4.36,
Merrill Kelly,109,117,4.227,
Jameson Taillon,141,118,3.915,
Blake Snell,119,120,6.532,
Logan Gilbert,136,133,5.985,
Ryan Johnson,108,134,4.228,
Max Fried,147,135,4.771,
Nolan McLean,121,137,6.12,
Ryan Feltner,115,138,4.271,
Tarik Skubal,119,138,7.219,
Trevor Williams,140,139,3.649,
Cal Quantrill,140,139,3.823,
Nick Martinez,139,140,3.991,
Shane McClanahan,139,140,4.648,
Daniel Lynch IV,118,141,3.693,
Erick Fedde,145,142,3.652,
Chris Sale,144,143,6.737,
Cristopher Sánchez,143,144,6.133,
Zebby Matthews,142,145,5.026,
Shota Imanaga,112,146,4.783,
Walker Buehler,135,147,4.578,
Rhett Lowder,113,158,4.244,
