pitcher,team,opp,proj_ks,line
Peter Lambert,117,109,4.851,
Payton Tolle,111,110,5.886,
Kyle Bradish,110,111,5.137,
Tyler Phillips,146,112,4.235,
Kyle Harrison,158,113,5.297,
Matthew Liberatore,138,115,5.059,
Kyle Leahy,138,115,4.734,
Gavin Williams,114,116,6.991,
Eduardo Rodriguez,109,117,4.746,
Spencer Arrighetti,141,118,4.371,
Andrew Alvarez,120,119,4.264,
Cade Cavalli,120,119,5.896,
Tyler Glasnow,119,120,6.173,
Justin Wrobleski,119,120,4.708,
George Kirby,136,133,5.087,
Bryan Woo,136,133,5.799,
Walbert Ureña,108,134,5.052,
Gerrit Cole,147,135,5.675,
Jeffrey Springs,133,136,4.014,
Gage Jump,133,136,5.493,
Christian Scott,121,137,5.823,
Tanner Gordon,115,138,4.263,
MacKenzie Gore,140,139,5.311,
Ian Seymour,139,140,5.92,
Randy Dobnak,118,141,4.216,
Bryan Hudson,145,142,3.695,
Tyler Mahle,144,143,4.718,
Aaron Nola,143,144,5.59,
Bailey Ober,142,145,4.246,
Clay Holmes,112,146,4.276,
Michael King,135,147,5.55,
Brady Singer,113,158,4.545,
