pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Dylan Cease,141,147,7.433,8.5,-117.0,betrivers,109.0,draftkings,0.325,0.325,0.325,0.325,H3,raw_8pp,0.518,-0.193,-0.193,7.0,0.014,0.014,t4,79.063,A,CORROBORATED,False,True,656302.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Freddy Peralta,139,110,5.033,5.5,-153.0,draftkings,120.0,draftkings,0.391,0.391,0.385,0.391,H3,raw_8pp,0.571,-0.18,-0.18,1.0,0.022,0.0,t4,50.685,B,CORROBORATED,False,True,642547.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Freddy Peralta,139,110,5.033,6.5,132.0,fanduel,-159.0,betrivers,0.254,0.254,0.25,0.254,H3,raw_8pp,0.413,-0.159,-0.159,5.0,0.021,0.007,t4,86.721,A,CORROBORATED,False,False,642547.0,-,,0.0,0.0,0.0,True
Edward Cabrera,112,138,4.843,3.5,-156.0,fanduel,122.0,fanduel,0.729,0.704,0.729,0.722,H0,lcb_1sd_8pp,0.575,0.154,0.129,2.0,0.025,0.0,t12,72.366,A,CORROBORATED,False,True,665795.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Gabriel Hughes,115,137,4.802,3.5,-135.0,betmgm,129.0,draftkings,0.719,0.698,0.719,0.712,H0,lcb_1sd_8pp,0.571,0.148,0.128,5.0,0.021,0.02,t12,65.148,B,CORROBORATED,False,True,687312.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Casey Mize,135,114,4.604,3.5,-155.0,betmgm,115.0,betmgm,0.681,0.681,0.692,0.681,H3,raw_8pp,0.567,0.115,0.115,1.0,0.035,0.0,t4,38.681,C,LOW,False,True,663554.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Jacob Lopez,133,140,5.629,4.5,-115.0,betmgm,105.0,bovada,0.674,0.64,0.674,0.665,H0,lcb_1sd_8pp,0.527,0.147,0.112,5.0,0.035,0.014,t12,57.556,B,CORROBORATED,False,True,682052.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Edward Cabrera,112,138,4.843,4.5,139.0,betonlineag,-165.0,draftkings,0.541,0.514,0.541,0.532,H0,lcb_1sd_8pp,0.405,0.136,0.11,4.0,0.026,0.007,t12,72.844,A,CORROBORATED,False,False,665795.0,-,,0.0,0.0,0.0,True
Drew Anderson,116,145,5.042,4.5,108.0,betrivers,-128.0,fanduel,0.563,0.563,0.569,0.563,H3,raw_8pp,0.46,0.103,0.103,6.0,0.021,0.008,t4,77.463,A,CORROBORATED,False,True,623454.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Trevor Rogers,110,139,4.799,4.5,117.0,draftkings,-145.0,betonlineag,0.538,0.538,0.54,0.538,H3,raw_8pp,0.437,0.1,0.1,7.0,0.018,0.003,t4,92.729,A,CORROBORATED,False,True,669432.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
