pitcher,team,opp,proj_ks,line
Logan Gilbert,136,108,6.437,
George Kirby,136,108,5.41,
Ryan Gusto,146,109,4.054,
Jacob deGrom,140,111,6.521,
MacKenzie Gore,140,111,5.101,
Blake Snell,119,113,6.934,
Anthony Kay,145,114,4.16,
Robbie Ray,135,115,4.379,
Walker Buehler,135,115,4.309,
Max Scherzer,141,116,4.416,
Michael Wacha,118,117,4.874,
Daniel Lynch IV,118,117,3.881,
Cristian Javier,117,118,4.794,
Hunter Brown,117,118,5.697,
Andrew Abbott,113,119,4.323,
Zack Wheeler,143,120,6.23,
Chris Bassitt,110,121,4.429,
Nick Martinez,139,133,4.019,
Logan Henderson,158,134,5.935,
Kyle Freeland,115,135,3.851,
Yusei Kikuchi,108,136,4.69,
Ryan Johnson,108,136,4.575,
Matthew Liberatore,138,137,5.163,
Anthony Molina,137,138,3.999,
Brady Basso,133,139,3.458,
Jake Bennett,111,140,4.31,
Keider Montero,116,141,3.421,
Carlos Rodón,147,142,5.024,
Shota Imanaga,112,144,5.039,
Parker Messick,114,145,6.384,
Merrill Kelly,109,146,4.301,
Michael Soroka,109,146,4.616,
Zebby Matthews,142,147,4.825,
Jared Jones,134,158,5.623,
