pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Brad Lord,120,146,2.5,OVER,PAPER-V3.1,-110.0,betmgm,4.098,0.784,0.77,0.511,0.26,5.0,H0,lcb_1sd_8pp,t12,61.765,B,0.013,0.012,0.0,0.0,0.0,695418.0,39.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Jacob Misiorowski,158,144,8.5,UNDER,PAPER-V3.1,115.0,betmgm,7.407,0.322,0.355,0.563,-0.208,2.0,H0,lcb_1sd_8pp,t12,55.963,B,0.034,0.003,0.0,0.0,0.0,694819.0,12.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Tanner Gordon,115,114,2.5,OVER,PAPER-V3.1,-165.0,betmgm,4.112,0.788,0.763,0.583,0.18,1.0,H0,lcb_1sd_8pp,t12,43.586,C,0.025,0.0,0.0,0.0,0.0,685299.0,23.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Chris Sale,144,158,7.5,UNDER,PAPER-CONV,-110.0,betmgm,6.919,0.384,0.407,0.498,-0.091,7.0,H0,lcb_1sd_8pp,t12,82.968,A,0.023,0.006,0.0,0.0,0.0,519242.0,36.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
