pitcher,team,opp,proj_ks,line
Joe Ryan,142,108,5.678,
Dean Kremer,142,108,4.791,
Will Warren,147,109,4.816,
Griffin Jax,139,111,5.143,
Rhett Lowder,113,112,4.244,
David Peterson,112,113,5.05,
Jack Perkins,133,114,4.718,
Bryce Miller,136,115,4.359,
Davis Martin,145,116,4.191,
Martín Pérez,144,117,3.979,
Cristopher Sánchez,143,121,5.554,
Gavin Williams,114,133,7.193,
Michael Wacha,118,134,4.813,
Sandy Alcantara,146,135,4.575,
Eury Pérez,146,135,4.966,
Jose Quintana,115,136,3.733,
Tomoyuki Sugano,115,136,4.269,
Tarik Skubal,119,137,7.561,
Jake Irvin,120,138,4.598,
Patrick Sandoval,111,139,4.895,
Spencer Miles,141,140,3.821,
Jacob deGrom,140,141,6.014,
Reid Detmers,108,142,6.962,
Ryan Johnson,108,142,4.826,
Jonah Tong,121,143,4.927,
Hunter Brown,117,144,6.089,
Troy Melton,116,145,4.843,
Walker Buehler,135,146,4.438,
Corbin Burnes,109,147,5.083,
Brandon Pfaadt,109,147,4.731,
Brandon Young,110,158,4.651,
