pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Justin Wrobleski,119,143,5.5,UNDER,PAPER-V3.1,-118.0,draftkings,4.551,0.306,0.306,0.472,-0.165,7.0,H3,raw_8pp,t4,64.271,B,0.03,0.011,0.0,0.0,0.0,680736.0,37.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Luinder Avila,118,137,3.5,OVER,PAPER-V3.1,-120.0,fanatics,4.521,0.677,0.662,0.525,0.137,7.0,H0,lcb_1sd_8pp,t12,76.695,A,0.015,0.009,0.0,0.0,0.0,679883.0,31.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Michael Lorenzen,115,120,3.5,OVER,PAPER-V3.1,105.0,bovada,4.204,0.619,0.596,0.467,0.129,7.0,H0,lcb_1sd_8pp,t12,73.705,A,0.023,0.01,0.0,0.0,0.0,547179.0,22.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Walbert Ureña,108,138,4.5,OVER,PAPER-V3.1,128.0,betonlineag,5.03,0.562,0.527,0.423,0.104,7.0,H0,lcb_1sd_8pp,t12,61.393,B,0.034,0.009,0.0,0.0,0.0,700712.0,30.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Reynaldo López,144,135,3.5,OVER,PAPER-V3.1,-175.0,betrivers,4.772,0.693,0.693,0.592,0.101,1.0,H3,raw_8pp,t4,38.511,C,0.027,0.0,0.0,0.0,0.0,625643.0,26.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Chase Burns,113,136,6.5,UNDER,PAPER-V3.1,132.0,betonlineag,6.136,0.424,0.477,0.576,-0.098,6.0,H0,lcb_1sd_8pp,t12,44.215,C,0.053,0.011,0.0,0.0,0.0,695505.0,45.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Zac Thornton,121,158,3.5,OVER,PAPER-V3.1,-165.0,betmgm,4.645,0.688,0.669,0.583,0.086,1.0,H0,lcb_1sd_8pp,t12,45.304,C,0.019,0.0,0.0,0.0,0.0,804267.0,41.0,Qualitative concerns,CONCERN,4 internal/verified areas checked
