pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
David Peterson,112,141,4.52,3.5,-113.0,fanduel,104.0,betrivers,0.678,0.662,0.678,0.679,H0,lcb_1sd_8pp,0.52,0.158,0.142,6.0,0.016,0.014,t12,76.871,A,CORROBORATED,False,True,656849.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Cristopher Sánchez,143,120,6.255,7.5,118.0,fanduel,-140.0,draftkings,0.282,0.329,0.282,0.267,H0,lcb_1sd_8pp,0.446,-0.164,-0.118,4.0,0.047,0.008,t12,52.124,C,LOW,False,True,650911.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Miles Mikolas,120,143,3.64,2.5,-175.0,betmgm,130.0,betmgm,0.725,0.699,0.725,0.732,H0,lcb_1sd_8pp,0.594,0.131,0.105,1.0,0.025,0.0,t12,43.316,C,LOW,False,True,571945.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Dylan Cease,141,112,6.719,7.5,-104.0,fanduel,-105.0,betmgm,0.355,0.402,0.355,0.354,H0,lcb_1sd_8pp,0.504,-0.149,-0.102,4.0,0.047,0.014,t12,44.352,C,LOW,False,True,656302.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Andrew Abbott,113,133,4.865,4.5,106.0,fanduel,-125.0,betmgm,0.56,0.56,0.552,0.56,H3,raw_8pp,0.469,0.091,0.091,6.0,0.033,0.007,t4,74.805,A,CORROBORATED,False,True,671096.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Ranger Suarez,111,145,5.342,5.5,-147.0,betonlineag,120.0,draftkings,0.446,0.48,0.446,0.438,H0,lcb_1sd_8pp,0.565,-0.119,-0.084,5.0,0.034,0.004,t12,73.613,A,CORROBORATED,True,True,624133.0,UNDER,PAPER-CONV,0.0,0.0,0.0,False
Miles Mikolas,120,143,3.64,3.5,152.0,betonlineag,-156.0,fanduel,0.509,0.48,0.509,0.514,H0,lcb_1sd_8pp,0.402,0.107,0.077,4.0,0.029,0.019,t12,55.399,B,CORROBORATED,True,False,571945.0,-,PAPER-CONV,0.0,0.0,0.0,False
Kohl Drake,109,135,4.203,3.5,-135.0,betmgm,119.0,draftkings,0.625,0.618,0.625,0.623,H0,lcb_1sd_8pp,0.552,0.073,0.066,5.0,0.007,0.011,t12,75.601,A,CORROBORATED,False,False,684442.0,-,,0.0,0.0,0.0,False
Framber Valdez,116,136,4.572,4.5,-143.0,draftkings,128.0,fanduel,0.49,0.513,0.49,0.493,H0,lcb_1sd_8pp,0.575,-0.085,-0.061,5.0,0.024,0.011,t12,70.466,A,CORROBORATED,False,False,664285.0,-,,0.0,0.0,0.0,False
Michael Wacha,118,142,4.96,4.5,100.0,fanduel,-121.0,draftkings,0.562,0.533,0.562,0.568,H0,lcb_1sd_8pp,0.476,0.086,0.057,5.0,0.029,0.005,t12,75.312,A,CORROBORATED,False,False,608379.0,-,,0.0,0.0,0.0,False
Mason Barnett,133,113,4.481,4.5,-110.0,betmgm,100.0,fanduel,0.461,0.461,0.47,0.461,H3,raw_8pp,0.515,-0.055,-0.055,7.0,0.031,0.015,t4,53.971,B,CORROBORATED,False,False,686930.0,-,,0.0,0.0,0.0,False
Bryce Miller,136,116,5.196,5.5,-105.0,betmgm,-107.0,draftkings,0.424,0.459,0.424,0.416,H0,lcb_1sd_8pp,0.498,-0.074,-0.04,6.0,0.034,0.011,t12,63.508,B,CORROBORATED,False,False,682243.0,-,,0.0,0.0,0.0,False
Walker Buehler,135,109,4.068,3.5,-120.0,betmgm,112.0,draftkings,0.588,0.568,0.588,0.59,H0,lcb_1sd_8pp,0.532,0.056,0.036,6.0,0.019,0.013,t12,75.714,A,CORROBORATED,False,False,621111.0,-,,0.0,0.0,0.0,False
Bailey Ober,142,118,4.163,3.5,-140.0,fanatics,128.0,draftkings,0.614,0.601,0.614,0.614,H0,lcb_1sd_8pp,0.569,0.045,0.032,5.0,0.013,0.014,t12,80.341,A,CORROBORATED,False,False,641927.0,-,,0.0,0.0,0.0,False
Janson Junk,146,144,3.953,3.5,-111.0,fanduel,-105.0,betmgm,0.556,0.529,0.556,0.548,H0,lcb_1sd_8pp,0.504,0.052,0.025,5.0,0.027,0.011,t12,70.421,A,CORROBORATED,False,False,676083.0,-,,0.0,0.0,0.0,False
Braxton Ashcraft,134,158,5.553,5.5,-122.0,draftkings,112.0,fanduel,0.48,0.516,0.48,0.469,H0,lcb_1sd_8pp,0.534,-0.054,-0.018,5.0,0.036,0.014,t12,53.952,B,CORROBORATED,False,False,677952.0,-,,0.0,0.0,0.0,False
Nolan McLean,121,114,5.983,5.5,-120.0,betmgm,114.0,betrivers,0.545,0.545,0.549,0.545,H3,raw_8pp,0.544,0.001,0.001,5.0,0.017,0.018,t4,72.976,A,CORROBORATED,False,False,690997.0,-,,0.0,0.0,0.0,False
Bailey Ober,142,118,4.163,4.5,136.0,betonlineag,-179.0,betonlineag,0.409,0.398,0.409,0.407,H0,lcb_1sd_8pp,0.398,0.012,0.0,1.0,0.023,0.0,t12,50.118,C,LOW,False,False,641927.0,-,,0.0,0.0,0.0,False
