pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Seth Lugo,5.53,7.5,UNDER,-150.0,0.807,0.561,0.247,3,PAPER,0
Kyle Freeland,6.26,7.5,UNDER,-146.0,0.694,0.556,0.138,2,PAPER,0
Sandy Alcantara,5.55,6.5,UNDER,-150.0,0.658,0.552,0.106,1,PAPER,0
Keider Montero,5.2,5.5,UNDER,-103.0,0.565,0.489,0.076,3,PAPER,0
Gage Jump,4.87,5.5,UNDER,-140.0,0.615,0.548,0.068,4,PAPER,0
Merrill Kelly,5.31,5.5,UNDER,-105.0,0.539,0.488,0.052,2,PAPER,0
Peter Lambert,4.95,5.5,UNDER,-148.0,0.604,0.564,0.041,4,PAPER,0
