pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Zack Littell,4.89,5.5,UNDER,110.0,0.61,0.442,0.167,1,PAPER,0
Sean Manaea,4.97,5.5,UNDER,-115.0,0.612,0.491,0.121,1,PAPER,0
Rhett Lowder,4.96,5.5,UNDER,105.0,0.6,0.485,0.116,3,PAPER,0
MacKenzie Gore,4.78,5.5,UNDER,-139.0,0.629,0.543,0.086,3,PAPER,0
J.T. Ginn,5.01,5.5,UNDER,-105.0,0.592,0.508,0.085,4,PAPER,0
Griffin Canning,4.8,5.5,UNDER,-146.0,0.631,0.563,0.068,4,PAPER,0
Tomoyuki Sugano,5.55,5.5,UNDER,115.0,0.497,0.432,0.065,3,PAPER,0
Davis Martin,5.13,5.5,UNDER,-110.0,0.571,0.508,0.063,4,PAPER,0
Taj Bradley,4.96,5.5,UNDER,-150.0,0.596,0.552,0.045,1,PAPER,0
Brandon Pfaadt,5.31,5.5,UNDER,-110.0,0.548,0.506,0.043,4,PAPER,0
