pitcher,team,opp,proj_ks,line
Joe Ryan,142,108,6.804,
Zebby Matthews,142,108,5.276,
Yoshinobu Yamamoto,119,109,6.405,
Freddy Peralta,121,111,5.412,
Nick Lodolo,113,112,5.268,
Javier Assad,112,113,4.129,
Eury Pérez,146,114,5.786,
Robbie Ray,137,115,5.11,
Tyler Mahle,137,115,4.775,
Cristopher Sánchez,143,116,5.942,
Cal Quantrill,140,117,3.789,
Kumar Rocker,140,117,4.308,
Kyle Bradish,110,118,5.535,
Eduardo Rodriguez,109,119,4.522,
Brandon Pfaadt,109,119,4.357,
Cam Schlittler,147,120,6.298,
Bryan Hudson,145,133,4.179,
Shane Drohan,158,134,4.537,
Brandon Sproat,158,134,4.998,
Shane Bieber,141,135,4.658,
Trey Yesavage,141,135,5.007,
Griffin Jax,139,136,5.359,
Kyle Freeland,115,137,4.002,
Tanner Gordon,115,137,3.996,
Reynaldo López,144,138,4.528,
Logan Gilbert,136,139,5.755,
Peter Lambert,117,140,4.829,
Hunter Brown,117,140,5.625,
Walker Buehler,135,141,4.415,
JP Sears,135,141,4.379,
Grayson Rodriguez,108,142,4.857,
Ryan Johnson,108,142,4.451,
Casey Mize,116,143,5.282,
Matthew Liberatore,138,144,4.465,
Gage Jump,133,145,5.268,
Tanner Bibee,114,146,4.431,
PJ Poulin,120,147,3.79,
Braxton Ashcraft,134,158,6.382,
Bubba Chandler,134,158,4.366,
