pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Tanner Gordon,4.96,6.5,UNDER,-155.0,0.757,0.567,0.191,1,PAPER,0
Joey Cantillo,4.49,5.5,UNDER,-130.0,0.69,0.536,0.154,4,PAPER,0
Logan Webb,5.83,6.5,UNDER,-145.0,0.613,0.542,0.071,1,PAPER,0
Nick Lodolo,4.84,5.5,UNDER,-155.0,0.622,0.567,0.056,1,PAPER,0
J.T. Ginn,5.03,5.5,UNDER,-135.0,0.595,0.542,0.053,4,PAPER,0
