pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Jacob Misiorowski,158,115,8.5,UNDER,PAPER-V3.1,-123.0,betonlineag,6.752,0.249,0.267,0.461,-0.194,6.0,H0,lcb_1sd_8pp,t12,67.177,B,0.018,0.019,0.0,0.0,0.0,694819.0,61.0,Moderate qualitative confirmation,SUPPORT,7 internal/verified areas checked
Connor Prielipp,142,133,4.5,OVER,PAPER-V3.1,115.0,draftkings,5.479,0.647,0.629,0.447,0.182,5.0,H0,lcb_1sd_8pp,t12,81.159,A,0.018,0.005,0.0,0.0,0.0,687570.0,46.0,Mixed signals,MIXED,7 internal/verified areas checked
Cristopher Sánchez,143,147,7.5,UNDER,PAPER-V3.1,-130.0,betonlineag,6.272,0.286,0.318,0.462,-0.144,5.0,H0,lcb_1sd_8pp,t12,74.175,A,0.032,0.006,0.0,0.0,0.0,650911.0,8.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Ranger Suarez,111,141,4.5,OVER,PAPER-V3.1,114.0,betrivers,5.23,0.598,0.598,0.468,0.13,6.0,H3,raw_8pp,t4,48.004,B,0.055,0.016,0.0,0.0,0.0,624133.0,26.0,Qualitative concerns,CONCERN,6 internal/verified areas checked
Andrew Abbott,113,138,3.5,OVER,PAPER-V3.1,-146.0,fanduel,4.666,0.697,0.679,0.565,0.114,6.0,H0,lcb_1sd_8pp,t12,88.172,A,0.018,0.005,0.0,0.0,0.0,671096.0,45.0,Neutral (model-only edge),NEUTRAL,7 internal/verified areas checked
Erick Fedde,145,117,3.5,OVER,PAPER-CONV,128.0,fanduel,3.793,0.541,0.532,0.426,0.106,7.0,H0,lcb_1sd_8pp,t12,84.775,A,0.009,0.009,0.0,0.0,0.0,607200.0,32.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Walker Buehler,135,146,3.5,OVER,PAPER-V3.1,-140.0,betmgm,4.479,0.66,0.66,0.573,0.087,5.0,H3,raw_8pp,t4,75.188,A,0.019,0.016,0.0,0.0,0.0,621111.0,45.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Logan Gilbert,136,140,6.5,UNDER,PAPER-CONV,-118.0,fanduel,5.89,0.374,0.403,0.487,-0.085,6.0,H0,lcb_1sd_8pp,t12,82.012,A,0.029,0.004,0.0,0.0,0.0,669302.0,21.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
