pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
David Peterson,112,138,4.368,3.5,125.0,fanatics,-130.0,draftkings,0.648,0.648,0.65,0.648,H3,raw_8pp,0.441,0.207,0.207,7.0,0.021,0.017,t4,72.243,A,CORROBORATED,False,True,656849.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Max Scherzer,141,120,4.197,2.5,-175.0,betmgm,130.0,betmgm,0.797,0.797,0.797,0.797,H3,raw_8pp,0.594,0.203,0.203,1.0,0.011,0.0,t4,44.926,C,LOW,False,True,453286.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Max Scherzer,141,120,4.197,3.5,130.0,fanatics,-159.0,betonlineag,0.611,0.611,0.609,0.611,H3,raw_8pp,0.417,0.195,0.195,6.0,0.019,0.004,t4,79.016,A,CORROBORATED,False,False,453286.0,-,,0.0,0.0,0.0,True
Matthew Liberatore,138,112,4.986,3.5,-160.0,betmgm,120.0,betmgm,0.748,0.748,0.75,0.748,H3,raw_8pp,0.575,0.173,0.173,1.0,0.009,0.0,t4,58.266,B,CORROBORATED,False,True,669461.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Zack Wheeler,143,146,6.574,6.5,-200.0,betmgm,145.0,betmgm,0.496,0.496,0.498,0.496,H3,raw_8pp,0.62,-0.125,-0.125,1.0,0.037,0.0,t4,36.594,C,LOW,False,True,554430.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Zack Wheeler,143,146,6.574,7.5,114.0,fanduel,-135.0,betonlineag,0.329,0.329,0.333,0.329,H3,raw_8pp,0.451,-0.122,-0.122,5.0,0.025,0.007,t4,83.112,A,CORROBORATED,False,False,554430.0,-,,0.0,0.0,0.0,True
Matthew Liberatore,138,112,4.986,4.5,120.0,fanduel,-128.0,draftkings,0.558,0.558,0.561,0.558,H3,raw_8pp,0.445,0.113,0.113,4.0,0.01,0.019,t4,74.41,A,CORROBORATED,False,False,669461.0,-,,0.0,0.0,0.0,True
Walbert Ureña,108,117,5.3,4.5,-110.0,draftkings,100.0,betonlineag,0.622,0.622,0.624,0.622,H3,raw_8pp,0.509,0.113,0.113,6.0,0.008,0.011,t4,80.734,A,CORROBORATED,False,True,700712.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Slade Cecconi,114,113,4.167,4.5,100.0,betonlineag,-124.0,betrivers,0.39,0.39,0.4,0.39,H3,raw_8pp,0.474,-0.083,-0.083,7.0,0.035,0.005,t4,77.011,A,CORROBORATED,False,True,677944.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Jack Perkins,133,111,5.325,4.5,-135.0,betmgm,120.0,draftkings,0.629,0.629,0.63,0.629,H3,raw_8pp,0.552,0.078,0.078,6.0,0.012,0.013,t4,76.13,A,CORROBORATED,False,False,678022.0,-,,0.0,0.0,0.0,False
