pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Peter Lambert,5.08,5.5,UNDER,-108.0,0.586,0.487,0.099,4,PAPER,0
Tanner Gordon,5.27,5.5,UNDER,100.0,0.541,0.462,0.08,1,PAPER,0
Grayson Rodriguez,4.97,5.5,UNDER,-149.0,0.6,0.558,0.042,2,PAPER,0
