pitcher,team,opp,proj_ks,line
Cristian Javier,117,109,4.451,
Sonny Gray,111,110,5.365,
Chris Bassitt,110,111,4.356,
Ryan Gusto,146,112,4.349,
Dustin May,158,113,4.647,
Framber Valdez,116,114,4.199,
Matthew Liberatore,138,115,5.154,
Andre Pallante,138,115,4.092,
Parker Messick,114,116,6.153,
Merrill Kelly,109,117,4.179,
Brandon Pfaadt,109,117,4.481,
Max Scherzer,141,118,3.989,
Cade Cavalli,120,119,5.866,
Blake Snell,119,120,6.645,
Tyler Glasnow,119,120,6.088,
Logan Gilbert,136,133,6.112,
George Kirby,136,133,4.929,
Yusei Kikuchi,108,134,4.344,
Carlos Rodón,147,135,4.593,
Max Fried,147,135,4.885,
Jeffrey Springs,133,136,3.904,
Zac Thornton,121,137,4.363,
Ryan Feltner,115,138,4.055,
Jacob deGrom,140,139,5.252,
Nick Martinez,139,140,3.938,
Drew Rasmussen,139,140,5.197,
Seth Lugo,118,141,4.238,
Daniel Lynch IV,118,141,3.434,
Anthony Kay,145,142,4.612,
Martín Pérez,144,143,3.658,
Zack Wheeler,143,144,5.966,
Taj Bradley,142,145,6.002,
Javier Assad,112,146,3.963,
Robbie Ray,135,147,4.88,
Walker Buehler,135,147,4.548,
Andrew Abbott,113,158,4.277,
