bets,wins,losses,pushes,win_rate,roi,profit_units,roi_ci_lo,roi_ci_mid,roi_ci_hi,p_roi_gt_0,avg_edge_pct,avg_abs_gap,avg_odds,overs,unders,brier,log_loss,model,edge_min,eg_min,side_filter,breakdown
22,12,10,0,0.5454545454545454,-0.042601867939892554,-0.9372410946776362,-0.4073934025976353,-0.04677097162686081,0.3281326283774604,0.5869166754306936,16.32197491837638,0.7575671167746004,-89.54545454545455,0,22,0.25140261975918654,0.7000680802098879,poisson_top120_a2,0,3,under,2026-03
211,132,79,0,0.6255924170616114,0.1881734595645213,39.704599968113996,0.06531045038713741,0.18938335257635902,0.31872433398481276,0.001907591315508217,20.187075672107518,0.7384115688130092,-46.677725118483416,0,211,0.23864195088547127,0.6708052916552477,poisson_top120_a2,0,3,under,2026-04
137,83,54,0,0.6058394160583942,0.10265099087460346,14.063185749820674,-0.04892296121697067,0.10037493059540871,0.25426786558771386,0.09391366691961878,15.631036078335594,0.6711619108956073,-75.4087591240876,0,137,0.22789700125511986,0.6476059466963394,poisson_top120_a2,0,3,under,2026-05
96,51,45,0,0.53125,-0.035108085488826,-3.370376206927296,-0.21943155346086735,-0.03216903439813897,0.15166613159690637,0.6454951552190473,22.571853130040893,0.8719427092870621,-75.65625,0,96,0.2661961312894789,0.7290325680117832,poisson_top120_a2,0,3,under,2026-06
466,278,188,0,0.5965665236051502,0.10613770046422694,49.46016841632975,0.021174311310371813,0.10693991687921096,0.18786579233342043,0.006899348577301123,19.156451197928902,0.7470536469374298,-63.11802575107296,0,466,0.24176186061647623,0.6773617071467907,poisson_top120_a2,0,3,under,under
22,12,10,0,0.5454545454545454,-0.042601867939892554,-0.9372410946776362,-0.4073934025976353,-0.04677097162686081,0.3281326283774604,0.5869166754306936,16.32197491837638,0.7575671167746004,-89.54545454545455,0,22,0.25140261975918654,0.7000680802098879,poisson_top120_a2,3,3,under,2026-03
211,132,79,0,0.6255924170616114,0.1881734595645213,39.704599968113996,0.06531045038713741,0.18938335257635902,0.31872433398481276,0.001907591315508217,20.187075672107518,0.7384115688130092,-46.677725118483416,0,211,0.23864195088547127,0.6708052916552477,poisson_top120_a2,3,3,under,2026-04
137,83,54,0,0.6058394160583942,0.10265099087460346,14.063185749820674,-0.04892296121697067,0.10037493059540871,0.25426786558771386,0.09391366691961878,15.631036078335594,0.6711619108956073,-75.4087591240876,0,137,0.22789700125511986,0.6476059466963394,poisson_top120_a2,3,3,under,2026-05
96,51,45,0,0.53125,-0.035108085488826,-3.370376206927296,-0.21943155346086735,-0.03216903439813897,0.15166613159690637,0.6454951552190473,22.571853130040893,0.8719427092870621,-75.65625,0,96,0.2661961312894789,0.7290325680117832,poisson_top120_a2,3,3,under,2026-06
466,278,188,0,0.5965665236051502,0.10613770046422694,49.46016841632975,0.021174311310371813,0.10693991687921096,0.18786579233342043,0.006899348577301123,19.156451197928902,0.7470536469374298,-63.11802575107296,0,466,0.24176186061647623,0.6773617071467907,poisson_top120_a2,3,3,under,under
31,19,12,0,0.6129032258064516,0.22136605322293895,6.862347649911108,-0.135594794929193,0.223964302806548,0.5687039444615,0.11086488810819928,16.771095475915725,0.5113710878861218,6.064516129032258,0,31,0.25399926625772523,0.7045300635669203,poisson_top120_a2,7,0,under,2026-03
274,164,110,0,0.5985401459854015,0.18071910831784244,49.51703567908883,0.0585121695014774,0.17853338364636162,0.2930966236288802,0.0012403837063830192,19.257279565371316,0.5565630952025902,2.218978102189781,0,274,0.24127656081128449,0.6759492243187778,poisson_top120_a2,7,0,under,2026-04
185,101,84,0,0.5459459459459459,0.0612908092337537,11.338799708244434,-0.07951726887509164,0.06317497758804433,0.19896729182024483,0.19983272299823862,15.675575594244236,0.48328251649717224,-14.52972972972973,0,185,0.24195110342540604,0.6764628540641483,poisson_top120_a2,7,0,under,2026-05
123,64,59,0,0.5203252032520326,-0.023672172128111145,-2.911677171757671,-0.1921952548249616,-0.02631732464056353,0.14284085394288445,0.6083608118210526,20.661875226817834,0.6987569853690344,-37.520325203252035,0,123,0.25934710819238443,0.7143327164543712,poisson_top120_a2,7,0,under,2026-06
613,348,265,0,0.567699836867863,0.10572023795348566,64.80650586548671,0.03245657529080975,0.10587439486705855,0.18337272312668815,0.0039221030173476334,18.33244812153166,0.5606935832990988,-10.615008156606851,0,613,0.24574943451491815,0.6852513402278544,poisson_top120_a2,7,0,under,under
36,21,15,0,0.5833333333333334,0.14732595622379174,5.303734424056503,-0.16600125791946188,0.15005864471475322,0.4637843969695473,0.1899196845617862,16.16746668901368,0.543447465697477,-19.305555555555557,0,36,0.24987647481770678,0.6924929717273964,elastic_top120,5,0,under,2026-03
310,177,133,0,0.5709677419354838,0.1154676670532425,35.794976786505174,0.009242852075356323,0.11708627958538058,0.2242162925071944,0.019785421791972513,18.00654173595139,0.5460783406009532,-6.612903225806452,0,310,0.2433277151780589,0.6802288667712746,elastic_top120,5,0,under,2026-04
228,130,98,0,0.5701754385964912,0.10145350208059646,23.13139847437599,-0.02446127047233924,0.10212703863205667,0.23151483215133864,0.058512703912686814,14.379386864417494,0.4493033592330942,-13.324561403508772,0,228,0.23581631605530762,0.6640910201156843,elastic_top120,5,0,under,2026-05
125,62,63,0,0.496,-0.06465291117689885,-8.081613897112357,-0.22837447226417001,-0.06608858015637764,0.10373390398998976,0.774387300855162,19.71767517012249,0.6763633446014942,-37.104,0,125,0.2660600217181979,0.7288722477000895,elastic_top120,5,0,under,2026-06
699,390,309,0,0.5579399141630901,0.08032688953909198,56.1484957878253,0.00728107839785873,0.08013746043877316,0.15121486568130504,0.015167415196264855,17.034715794423356,0.537675219358708,-14.908440629470672,0,699,0.24528006806011526,0.6842953923178378,elastic_top120,5,0,under,under
96,58,38,0,0.6041666666666666,0.16439228067009506,15.781658944329127,-0.02900918974165962,0.16523678877957404,0.3529906798166372,0.04791368230107351,13.162108862950097,0.5840581169108255,-23.854166666666668,49,47,0.23420980782565617,0.661197240449802,poisson_top120_a2,3,0,all,2026-03
542,295,247,0,0.544280442804428,0.06170128080851138,33.44209419821317,-0.02148049731730677,0.06155266648065384,0.14427056519735762,0.07375792605165188,15.135662558302034,0.5621650781504495,-7.071955719557195,196,346,0.24548729170126637,0.6846343874425495,poisson_top120_a2,3,0,all,2026-04
466,258,208,0,0.5536480686695279,0.06555415279893666,30.548235204304483,-0.024750538921340683,0.0659667733170597,0.15386510936117892,0.07390435730968348,13.21513393794763,0.5385864031745597,-15.276824034334764,205,261,0.23690040694025719,0.6667977190223847,poisson_top120_a2,3,0,all,2026-05
248,121,127,0,0.4879032258064516,-0.07843606161507717,-19.45214328053914,-0.20052896350607455,-0.07787041949053569,0.04220073031939859,0.9009813369018781,17.06654639413878,0.6868953966367394,-33.399193548387096,102,146,0.26302020958800837,0.7221040517068131,poisson_top120_a2,3,0,all,2026-06
552,294,258,0,0.532608695652174,0.03222868331007999,17.790233187164155,-0.051954285989920704,0.03367381327617003,0.11486149408532519,0.22147560271109468,13.919940832061947,0.6586841813826779,-11.26086956521739,552,0,0.24549177926653523,0.6851867163470825,poisson_top120_a2,3,0,all,over
