fetched_at,event_id,commence_time,home_team,away_team,bookmaker,bookmaker_title,bookmaker_last_update,market,api_market,player_name,line,over_odds,under_odds,snapshot_type,requested_snapshot,historical_snapshot,game_date,pitcher_id,pitcher_name,team,opponent
2026-06-19T14:20:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betmgm,BetMGM,2026-06-19T14:20:16Z,hits_allowed,pitcher_hits_allowed,Kevin Gausman,4.5,-155,115,open,2026-06-19T14:21:00Z,2026-06-19T14:20:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T14:20:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betmgm,BetMGM,2026-06-19T14:20:16Z,hits_allowed,pitcher_hits_allowed,Ben Brown,4.5,-130,-105,open,2026-06-19T14:21:00Z,2026-06-19T14:20:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T14:20:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betmgm,BetMGM,2026-06-19T14:20:16Z,strikeouts,pitcher_strikeouts,Kevin Gausman,5.5,-118,-110,open,2026-06-19T14:21:00Z,2026-06-19T14:20:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T14:20:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betmgm,BetMGM,2026-06-19T14:20:16Z,strikeouts,pitcher_strikeouts,Ben Brown,4.5,-135,100,open,2026-06-19T14:21:00Z,2026-06-19T14:20:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T14:20:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T14:19:28Z,hits_allowed,pitcher_hits_allowed,Ben Brown,4.5,-150,110,open,2026-06-19T14:21:00Z,2026-06-19T14:20:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T14:20:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T14:19:28Z,hits_allowed,pitcher_hits_allowed,Kevin Gausman,4.5,-140,100,open,2026-06-19T14:21:00Z,2026-06-19T14:20:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T14:20:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T14:19:28Z,strikeouts,pitcher_strikeouts,Ben Brown,4.5,-115,-115,open,2026-06-19T14:21:00Z,2026-06-19T14:20:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T14:20:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T14:19:28Z,strikeouts,pitcher_strikeouts,Kevin Gausman,5.5,-110,-120,open,2026-06-19T14:21:00Z,2026-06-19T14:20:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T14:20:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T14:19:28Z,walks,pitcher_walks,Ben Brown,1.5,135,-175,open,2026-06-19T14:21:00Z,2026-06-19T14:20:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T14:20:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T14:19:28Z,walks,pitcher_walks,Kevin Gausman,1.5,-155,115,open,2026-06-19T14:21:00Z,2026-06-19T14:20:36Z,2026-06-19,592332,Kevin Gausman,141,112
