game_date,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_entry_odds,avg_edge_pct,avg_abs_gap,clv_bets,avg_clv_pct,positive_clv_rate
2026-06-19,3,2,1,0,0.6666666666666666,1.059090909090909,0.353030303030303,-50.666666666666664,23.422560763620236,0.932412360220836,3,-0.6159880518917804,0.6666666666666666
2026-06-20,7,4,3,0,0.5714285714285714,0.514190766108575,0.07345582372979642,-29.714285714285715,22.35045785453482,0.7531400851444802,5,10.041557855104758,0.8
2026-06-21,7,3,4,0,0.42857142857142855,-1.55016835016835,-0.22145262145262143,-95.28571428571429,18.545125616621437,0.7726976177150687,4,-10.951642408385617,0.0
2026-06-22,6,2,4,0,0.3333333333333333,-2.362159329140461,-0.39369322152341013,-46.333333333333336,23.285563114634467,0.7456510547546187,6,-5.414414441841814,0.3333333333333333
2026-06-23,5,3,2,0,0.6,0.9213425647200484,0.18426851294400967,-71.0,25.410526421605837,0.7369368002646242,2,1.7032967032967141,0.5
2026-06-24,10,4,6,0,0.4,-3.1145733461169702,-0.311457334611697,-104.4,21.947528195710138,0.8868447323480003,7,1.902007515209532,0.42857142857142855
2026-06-25,6,3,3,0,0.5,-0.2391425672247589,-0.039857094537459815,-12.166666666666666,14.314447148251723,0.4423529650785225,5,0.8329138311461382,0.8
2026-06-26,5,3,2,0,0.6,0.655359565807327,0.1310719131614654,-31.8,24.960703776032354,0.8391485860175601,4,-11.68990477152338,0.0
2026-06-27,5,2,3,0,0.4,-0.8666037735849055,-0.1733207547169811,20.8,30.756705468833132,0.8700261947319905,3,17.3162018861062,1.0
2026-06-28,10,7,3,0,0.7,3.1598377859738904,0.315983778597389,-49.9,27.443784408256455,0.8649101427511965,6,-7.788003682229459,0.16666666666666666
2026-06-29,6,4,2,0,0.6666666666666666,0.6693772711669803,0.11156287852783005,-98.16666666666667,14.839730590540091,0.6985729080962981,5,-9.104831379274858,0.4
