market,edge_bucket,bets,win_rate,roi,mean_edge_pct
strikeouts,negative,955,0.5151832460732985,-0.040325871142482,-2.276614192363323
strikeouts,0-3%,699,0.5379113018597997,0.026139355383362914,1.5041506188696705
strikeouts,3-7%,756,0.5119047619047619,-0.014945489230272129,4.8721627422800475
strikeouts,7-12%,827,0.4848851269649335,-0.038930370868600364,9.374237667138654
strikeouts,12%+,1470,0.508843537414966,0.06813425267736305,21.52398951434606
