date,pitcher,line,side,actual_vwap_cents,sharp_fair_entry_cents,fill_vs_fair_gap_pp,sharp_close_cents,clv_pp,maker_taker,taker_contract_frac,fill_rows_used,contracts_used,first_fill_used,entry_ref,entry_snapshot,entry_fair_source,entry_fair_books,entry_fair_book_count,entry_fair_confidence,entry_matched_line,entry_hook_diff,filled_at_or_below_fair
2026-06-15,J.T. Ginn,4.5,UNDER,43.0,43.124822840567816,-0.12482284056781623,43.297422610118645,0.29742261011864457,maker,0.002857142857142857,4,700.0,2026-06-15T18:08:13Z,first_fill_snapshot_cache,2026-06-15T18:08:13Z,pin_fd_betonline_consensus_2,"pinnacle,fanduel",2,primary_2_book,4.5,0.0,True
2026-06-15,Jared Jones,4.5,UNDER,42.0,43.6529933481153,-1.6529933481153023,41.923394524550595,-0.07660547544940499,maker,0.0,13,714.9999999999999,2026-06-15T21:43:27Z,first_fill_snapshot_cache,2026-06-15T21:43:27Z,primary_single_fanduel,fanduel,1,primary_1_book,4.5,0.0,True
2026-06-15,Ryan Gusto,3.5,UNDER,40.0,41.86744608578877,-1.867446085788771,49.19057833178194,9.190578331781943,maker,0.0,1,3.24,2026-06-15T13:16:34Z,first_fill_snapshot_cache,2026-06-15T13:16:34Z,primary_single_pinnacle,pinnacle,1,primary_1_book,3.5,0.0,True
2026-06-15,Ryne Nelson,4.5,UNDER,43.0,42.29244755939804,0.7075524406019582,42.483660130718945,-0.5163398692810546,maker,0.0,7,350.0,2026-06-15T14:24:37Z,first_fill_snapshot_cache,2026-06-15T14:24:37Z,pin_fd_betonline_consensus_2,"pinnacle,fanduel",2,primary_2_book,4.5,0.0,False
2026-06-15,Shota Imanaga,5.5,UNDER,43.0,42.31448906470388,0.6855109352961222,58.78215834393148,15.782158343931478,maker,0.18142857142857144,12,700.0,2026-06-15T18:09:59Z,first_fill_snapshot_cache,2026-06-15T18:09:59Z,primary_single_pinnacle,pinnacle,1,primary_1_book,5.5,0.0,False
2026-06-16,Andre Pallante,3.5,UNDER,46.0,45.88431804521056,0.11568195478943721,43.832841450849585,-2.1671585491504146,maker,0.0,5,326.00000000000006,2026-06-16T09:33:24Z,first_fill_snapshot_cache,2026-06-16T09:33:24Z,pin_fd_betonline_consensus_2,"pinnacle,fanduel",2,primary_2_book,3.5,0.0,False
2026-06-16,Drew Rasmussen,4.5,UNDER,39.0,40.64075941857016,-1.6407594185701626,53.2258064516129,14.225806451612897,maker,0.0,3,770.0,2026-06-16T12:07:31Z,first_fill_snapshot_cache,2026-06-16T12:07:31Z,primary_single_pinnacle,pinnacle,1,primary_1_book,4.5,0.0,True
2026-06-16,Justin Wrobleski,3.5,UNDER,40.0,41.310976049460095,-1.3109760494600948,42.27152079168988,2.2715207916898805,maker,0.0,13,749.9999999999999,2026-06-16T14:16:00Z,first_fill_snapshot_cache,2026-06-16T14:16:00Z,broader_consensus_ex_dk,"betmgm,espnbet,ladbrokes_au",3,lower_broader_consensus,3.5,0.0,True
2026-06-16,Kodai Senga,4.5,UNDER,41.0,42.54270696452037,-1.5427069645203701,41.70324846356453,0.7032484635645275,maker,0.0,9,730.0,2026-06-16T11:33:51Z,first_fill_snapshot_cache,2026-06-16T11:33:51Z,primary_single_pinnacle,pinnacle,1,primary_1_book,4.5,0.0,True
2026-06-16,Robert Gasser,4.5,UNDER,40.0,42.31448906470388,-2.314489064703878,41.38449962377727,1.3844996237772733,maker,0.0,4,50.97,2026-06-16T12:56:46Z,first_fill_snapshot_cache,2026-06-16T12:56:46Z,primary_single_pinnacle,pinnacle,1,primary_1_book,4.5,0.0,True
2026-06-17,Eduardo Rodriguez,4.5,UNDER,43.0,43.983442119353185,-0.9834421193531853,39.46978750128356,-3.5302124987164376,maker,0.0,20,700.0,2026-06-17T13:11:12Z,logged_final_card,final_kalshi_bet_card_20260617,logged_final_card,consensus,7,logged_card,4.5,0.0,True
2026-06-17,George Kirby,5.5,UNDER,41.00000000000001,42.56167965120825,-1.5616796512082445,42.60513948909255,1.6051394890925437,maker,0.0,16,605.53,2026-06-17T23:09:41Z,logged_today_card,today_over_favored_under_posts,logged_today_card,consensus,3,logged_card,5.5,0.0,True
2026-06-17,Shohei Ohtani,5.5,UNDER,43.0,43.50333106596893,-0.5033310659689292,39.72670536963045,-3.2732946303695485,maker,0.0,8,700.0,2026-06-17T10:21:25Z,logged_final_card,final_kalshi_bet_card_20260617,logged_final_card,consensus,8,logged_card,5.5,0.0,True
