date,pitcher,line,side,entry_cents,old_close_cents,old_clv_pp,sharp3_close_cents,sharp3_clv_pp,delta_clv_pp,match_type,matched_line,hook_diff,source,books,book_count,confidence,available_pair_books
2026-06-15,J.T. Ginn,4.5,UNDER,43.0,43.297422610118645,0.29742261011864457,43.297422610118645,0.29742261011864457,0.0,exact,4.5,0.0,primary_single_pinnacle,pinnacle,1,primary_1_book,"draftkings,pinnacle"
2026-06-15,Jared Jones,4.5,UNDER,42.0,41.923394524550595,-0.07660547544940499,41.923394524550595,-0.07660547544940499,0.0,exact,4.5,0.0,primary_single_pinnacle,pinnacle,1,primary_1_book,"draftkings,pinnacle"
2026-06-15,Ryan Gusto,3.5,UNDER,40.0,49.19057833178194,9.190578331781943,49.19057833178194,9.190578331781943,0.0,exact,3.5,0.0,primary_single_pinnacle,pinnacle,1,primary_1_book,"draftkings,pinnacle"
2026-06-15,Ryne Nelson,4.5,UNDER,43.0,42.483660130718945,-0.5163398692810546,42.483660130718945,-0.5163398692810546,0.0,exact,4.5,0.0,primary_single_pinnacle,pinnacle,1,primary_1_book,"draftkings,pinnacle"
2026-06-15,Shota Imanaga,5.5,UNDER,43.0,58.78215834393148,15.782158343931478,58.78215834393148,15.782158343931478,0.0,nearest,6.5,1.0,primary_single_pinnacle,pinnacle,1,primary_1_book,"draftkings,pinnacle"
2026-06-16,Andre Pallante,3.5,UNDER,46.0,43.832841450849585,-2.1671585491504146,43.832841450849585,-2.1671585491504146,0.0,exact,3.5,0.0,primary_single_pinnacle,pinnacle,1,primary_1_book,"draftkings,pinnacle"
2026-06-16,Drew Rasmussen,4.5,UNDER,39.0,53.2258064516129,14.225806451612897,53.2258064516129,14.225806451612897,0.0,nearest,5.5,1.0,primary_single_pinnacle,pinnacle,1,primary_1_book,"draftkings,pinnacle"
2026-06-16,Justin Wrobleski,3.5,UNDER,40.0,42.27152079168988,2.2715207916898805,42.27152079168988,2.2715207916898805,0.0,exact,3.5,0.0,draftkings_fallback,draftkings,1,lower_dk,"draftkings,pinnacle"
2026-06-16,Kodai Senga,4.5,UNDER,41.0,41.70324846356453,0.7032484635645275,41.70324846356453,0.7032484635645275,0.0,exact,4.5,0.0,primary_single_pinnacle,pinnacle,1,primary_1_book,"draftkings,pinnacle"
2026-06-16,Robert Gasser,4.5,UNDER,40.0,41.38449962377727,1.3844996237772733,41.38449962377727,1.3844996237772733,0.0,exact,4.5,0.0,draftkings_fallback,draftkings,1,lower_dk,"draftkings,pinnacle"
2026-06-17,Eduardo Rodriguez,4.5,UNDER,43.0,39.46978750128356,-3.5302124987164376,39.46978750128356,-3.5302124987164376,0.0,exact,4.5,0.0,broader_consensus_ex_dk,"espnbet,fliff",2,lower_broader_consensus,"betmgm,betparx,betrivers,bovada,draftkings,espnbet,fanduel,fliff,hardrockbet,hardrockbet_oh,ladbrokes_au,pinnacle,pointsbetau,rebet,sportsbet,unibet"
2026-06-17,George Kirby,5.5,UNDER,41.00000000000001,42.60513948909255,1.6051394890925437,42.60513948909255,1.6051394890925437,0.0,exact,5.5,0.0,broader_consensus_ex_dk,"betmgm,espnbet,hardrockbet_oh,ladbrokes_au,rebet",5,lower_broader_consensus,"betmgm,betparx,betrivers,bovada,draftkings,espnbet,fanduel,fliff,hardrockbet,hardrockbet_oh,ladbrokes_au,pinnacle,pointsbetau,rebet,sportsbet,unibet"
2026-06-17,Shohei Ohtani,5.5,UNDER,43.0,39.72670536963045,-3.2732946303695485,39.72670536963045,-3.2732946303695485,0.0,exact,5.5,0.0,broader_consensus_ex_dk,"betmgm,espnbet,ladbrokes_au",3,lower_broader_consensus,"betmgm,betparx,betrivers,bovada,draftkings,espnbet,fanduel,fliff,hardrockbet,hardrockbet_oh,ladbrokes_au,pinnacle,pointsbetau,rebet,sportsbet,unibet"
